kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_slogg,koi_srad,koi_smass
7303287,K01353.02,CONFIRMED,CANDIDATE,1.0,34.5439452,3.2212945992170106,427.39924593038216,2.2638950866274583,5933.0,4.342,1.004,1.051
7211141,K01355.01,CONFIRMED,CANDIDATE,0.997,51.92920654,4.947919461485522,3425.905357309911,8.47796196644584,5671.0,4.128,1.328,1.008
6719086,K01357.01,CANDIDATE,CANDIDATE,1.0,3.014330766,2.402518623219466,979.5485872903242,2.7445727583190678,5209.0,4.446,0.804,0.824
7376983,K01358.01,CANDIDATE,CANDIDATE,1.0,5.644914154,2.167431618523852,1404.4781947860629,2.9634746417346114,4769.0,4.622,0.725,0.736
7376983,K01358.02,CANDIDATE,CANDIDATE,0.999,8.74292005,2.549546406344154,781.7245904970794,2.210907646485494,4769.0,4.622,0.725,0.736
7376983,K01358.03,CANDIDATE,CANDIDATE,1.0,3.64830183,1.942409305666025,373.8890037584541,1.5290266717992496,4769.0,4.622,0.725,0.736
6946199,K01359.01,CANDIDATE,CANDIDATE,1.0,37.1011418,5.333328017265259,1357.4237894905527,3.8617737313336944,5986.0,4.527,0.961,1.014
6946199,K01359.02,CANDIDATE,CANDIDATE,1.0,104.8205868,3.234091621457415,3924.7323256387244,6.566502548669306,5986.0,4.527,0.961,1.014
7102227,K01360.01,CONFIRMED,CANDIDATE,1.0,36.7704935,4.212400208495971,1345.6468786701148,2.904744132986592,5142.0,4.602,0.726,0.747
7102227,K01360.02,CONFIRMED,CANDIDATE,1.0,14.58932429,2.310154524986929,827.5079158112097,2.277867233541479,5142.0,4.602,0.726,0.747
6837146,K01362.01,CANDIDATE,CANDIDATE,1.0,20.51360192,3.26913186483302,1167.5129472432654,3.1752370670101513,5310.0,4.608,0.852,0.852
6936909,K01363.01,CONFIRMED,CANDIDATE,1.0,3.546531809,2.195142129353466,441.03276061002725,2.7784458336785396,5993.0,4.489,1.213,0.921
6936909,K01363.02,CONFIRMED,CANDIDATE,0.983,5.70070626,1.545049736175423,381.22968215525964,2.58321088894245,5993.0,4.489,1.213,0.921
6962977,K01364.01,CONFIRMED,CANDIDATE,1.0,20.8341497,4.3369944899826836,806.1423634303511,2.576528239050661,5296.0,4.538,0.832,0.867
6962977,K01364.02,CONFIRMED,CANDIDATE,1.0,7.0556584,2.963101487974569,705.1240188007401,2.409693403614059,5296.0,4.538,0.832,0.867
6962977,K01364.03,CONFIRMED,CANDIDATE,1.0,11.97884409,3.653832900522325,705.8235010923842,2.4108883140223303,5296.0,4.538,0.832,0.867
