target_id,star_id,koi_period,period_err,depth,depth_err,duration,duration_err,koi_smass,koi_srad,koi_prad
388161,2944,12.7788719,0.000251195,0.001793592,9.89E-06,0.220718415,0.000538812,0.981,1.379,6.369882055
388286,44819,3.110464411,0.001938565,0.000227991,1.93E-05,0.084051393,0.004575463,1.143,1.267,2.086608977
388286,44819,7.91042944,0.002792653,0.000317175,2.01E-05,0.183494885,0.005246917,1.143,1.267,2.461112255
388606,22980,14.10352153,0.000511776,0.00061703,9.49E-06,0.126694624,0.001054979,0.728,0.713,1.931736949
388606,22980,19.22779813,0.002012615,0.000150802,1.61E-05,0.062474553,0.004938162,0.728,0.713,0.95498878
389147,43935,4.986276484,0.002140307,7.77E-05,5.75E-06,0.111558262,0.004649302,1.043,1.026,0.986260618
389147,43935,11.94498682,0.000241526,0.000985628,1.19E-05,0.06482421,0.000602314,1.043,1.026,3.513250281
389478,13925,5.833680327,0.001925717,0.000302158,1.41E-05,0.216302442,0.004199335,1.063,1.656,3.139659327
389478,13925,35.45407585,0.004785998,0.00034365,3.09E-05,0.283603425,0.00986433,1.063,1.656,3.348295277
389749,79305,3.358278885,0.00250945,0.000204055,1.50E-05,0.140066333,0.005188772,0.899,1.237,1.927296145
389749,79305,19.15151428,0.002678047,0.000441878,2.65E-05,0.256086886,0.006060261,0.899,1.237,2.836130728
390765,34767,3.171875754,0.00025539,0.001901171,1.78E-05,0.106878737,0.000582976,1.063,1.093,5.197997518
390765,34767,15.64173656,0.000767849,0.001628216,3.04E-05,0.170836768,0.001562917,1.063,1.093,4.810402928
390991,80523,40.26642579,0.003674542,0.000162505,1.36E-05,0.253149201,0.008204977,0.981,0.998,1.387615289
390991,80523,56.68492178,0.002394936,0.000320689,1.56E-05,0.272883962,0.005071427,0.981,0.998,1.949294948
391012,45885,7.62308825,0.000980279,0.000281639,1.00E-05,0.106979833,0.002207475,0.965,0.917,1.678498106
391012,45885,14.29215253,0.003200414,0.000124217,1.14E-05,0.15688299,0.00697831,0.965,0.917,1.114720347
391820,40174,3.795263618,0.002315237,0.000196571,1.78E-05,0.104335793,0.005486856,0.878,0.859,1.313585243
391820,40174,8.167668092,0.001905455,0.000379637,2.42E-05,0.127460826,0.004344663,0.878,0.859,1.825502828
391870,57911,16.03585952,0.004050665,8.40E-05,9.78E-06,0.15717587,0.008818532,0.824,0.79,0.789701153
391870,57911,60.12213697,0.000451271,0.001688434,1.68E-05,0.219859887,0.000972353,0.824,0.79,3.540580566
392014,66525,7.768323515,0.003113106,0.000176359,1.91E-05,0.09737383,0.006390391,0.821,0.793,1.148621193
392014,66525,13.43683781,0.002255294,0.000304031,1.99E-05,0.154746876,0.004949224,0.821,0.793,1.508125591
392201,4953,26.24031468,0.005163623,5.22E-05,5.29E-06,0.278326889,0.010414947,1.197,1.393,1.097510129
392201,4953,45.81113959,0.004306299,8.47E-05,7.00E-06,0.287529656,0.008705155,1.197,1.393,1.398148585
