m,m_sigma,r,r_sigma
327.35,41.32,9.98,0.9
79.45,25.43,10.962,0.247
108.06,25.43,12.22,0.34
92.17,28.6,13.79,2.35
403.63,60.39,12.11,0.34
1719.4603,101.7056,12.834,0.404
48.6,4.2,5.02,0.53
139.8452,19.0698,9.528,0.56
282.8687,12.7132,10.088,4.484
886.7457,73.1009,11.994,1.681
174.8065,25.4264,15.468,1.009
1652.716,63.566,11.209,0.56
133.4886,12.7132,16.814,5.604
149.3801,31.783,17.598,1.121
1172.7927,57.2094,13.451,0.673
791.3967,66.7443,12.812,0.729
594.3421,66.7443,13.473,1.087
135.39558,11.75971,7.656,0.415
21.3,3.6,2.49,0.34
425.8922,25.4264,11.545,0.448
572.094,31.783,10.761,0.336
38.1396,3.1783,10.536,0.224
108.0622,79.4575,23.371,1.076
8.6,3.9,1.9,0.2
47.6745,31.783,6.389,0.673
508.528,34.9613,18.495,0.785
273.3338,41.3179,14.572,1.681
451.3186,98.5273,17.396,0.538
70.87609,9.85273,9.528,0.291
508.528,63.566,12.285,0.953
9.68,1.21,2.59,0.06
15.68,2.28,3.53,0.08
16.6,1.3,4.71,0.17
131.89945,6.3566,11.5,0.28
597.5204,79.4575,19.055,0.336
323.23311,22.2481,17.318,0.583
98.5273,12.7132,12.666,0.336
123.9537,6.3566,17.374,1.121
6.54,0.84,1.71,0.11
1722.6386,69.9226,10.817,0.359
210.40346,17.48065,12.924,0.594
1080.622,44.4962,13.395,0.751
305.1168,38.1396,13.529,0.437
305.1168,63.566,18.82,0.908
260.93843,26.37989,16.825,0.56
416.3573,88.9924,17.094,0.729
255.85315,21.61244,16.376,0.863
467.2101,92.1707,17.901,0.863
163.36462,6.3566,16.141,0.404
40.68224,3.1783,5.717,0.224
126.49634,11.75971,11.209,0.247
5.0,3.1,2.213,0.082
200.2329,41.3179,17.598,1.345
505.3497,76.2792,17.71,1.793
3082.951,508.528,14.908,3.251
597.5204,47.6745,15.693,2.802
235.1942,41.3179,17.878,0.527
953.49,349.613,11.781,0.493
1694.0339,216.1244,15.816,0.942
460.8535,38.1396,18.887,0.527
410.0007,18.75197,13.809,0.437
246.00042,14.93801,11.276,0.56
6.49,1.16,1.589,0.095
24.5,4.4,2.63,0.11
402.05495,20.65895,13.899,0.336
150.96925,17.16282,15.793,1.076
562.24127,20.34112,15.009,0.717
167.49641,26.37989,21.185,1.457
11.3,11.0,3.3,1.8
9.4,2.9,2.93,0.14
8.3,2.7,2.73,0.14
87.40325,8.89924,12.498,1.569
88.35674,13.98452,12.218,0.527
676.9779,38.1396,12.644,0.46
209.13214,30.82951,14.123,2.13
1868.8404,149.3801,11.994,0.56
317.83,31.783,12.89,1.009
248.86089,18.11631,17.822,1.793
629.3034,24.47291,14.986,1.143
390.9309,12.7132,9.976,0.336
85.8141,6.3566,13.675,0.56
130.3103,9.5349,9.752,0.336
37.18611,5.40311,8.967,0.56
775.5052,22.2481,16.141,4.708
854.9627,47.6745,13.563,0.897
266.9772,28.6047,17.15,0.897
279.6904,38.1396,18.383,2.466
292.4036,31.783,14.0,1.614
378.85336,16.84499,13.787,1.255
8.0,1.6,1.75,0.17
677.61356,29.24036,12.038,0.415
14.8,3.1,2.41,0.12
100.11645,8.58141,9.494,0.146
256.17098,21.93027,12.621,0.863
718.2958,98.5273,14.572,1.569
299.07803,22.88376,16.029,2.13
388.38826,24.79074,16.41,0.773
57.2094,6.3566,15.356,0.448
479.9233,25.4264,15.468,1.793
387.7526,25.4264,12.218,0.56
1369.8473,149.3801,12.285,1.569
1938.763,171.6282,12.722,1.233
1373.0256,57.2094,12.408,0.717
375.0394,34.9613,17.598,0.471
231.69807,11.44188,16.018,0.572
874.0325,50.8528,15.861,0.942
870.8542,34.9613,10.682,0.538
467.2101,22.88376,20.849,3.363
775.5052,57.2094,16.668,0.874
4.82,0.84,2.042,0.05
346.4347,27.33338,11.545,1.457
613.4119,60.3877,11.097,0.673
1175.971,286.047,16.814,3.363
3.42,1.2,1.62,0.11
2.42,0.75,1.269,0.087
301.9385,44.4962,19.952,1.906
82.95363,17.16282,13.227,0.56
177.9848,34.9613,11.96,1.401
222.481,47.6745,14.415,1.042
54.98459,19.70546,10.122,0.65
38.1396,3.81396,6.311,0.516
756.4354,82.6358,16.589,4.147
34.9613,5.40311,7.398,0.314
5.2,1.8,2.07,0.14
123.9537,31.783,12.666,0.841
244.09344,14.30235,15.805,2.13
711.9392,47.6745,15.491,0.964
189.10885,28.28687,15.02,0.628
