pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbeccen,pl_orbincl,pl_radj,pl_radjerr1,pl_radjerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_masse,pl_masseerr1,pl_masseerr2,ra,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,st_spstr,st_plx,gaia_dist,st_pmra,st_pmdec,gaia_pmra,gaia_pmdec,st_radv,st_logg,st_age,st_vsini
Kepler-138,b,Transit,10.3126,0.0004,-0.0006,1e+20,1e+20,0.526822094354118,0.03362694219281604,-0.03362694219281604,0.522,0.032,-0.032,0.06674396538488171,0.060387397252988216,-0.038139408791360976,0.066,0.059,-0.037,290.381547,43.292973,52.4,12.925,Kepler-band,3841.0,0.52,0.44,M1 V,1e+20,66.99,-20.6,22.7,-20.6,22.7,-36.33,4.89,1e+20,1e+20
K2-22,b,Transit,0.381078,1e-06,-1e-06,1e+20,1e+20,2.4996027029993257,0.40352330631379246,-0.40352330631379246,2.5,0.4,-0.4,444.95976923254466,0.0,0.0,444.962,0.0,0.0,169.482819,2.61907,245.53,15.597,V (Johnson),3830.0,0.6,0.57,M0 V,4.07,245.53,-26.1,0.3,-27.1,-4.7,1e+20,4.65,1e+20,1e+20
Kepler-26,c,Transit,17.2559,0.0006,-0.0006,1e+20,1e+20,2.7237823176180993,0.12329878804032549,-0.12329878804032549,2.72,0.12,-0.12,6.200832212662105,0.6515482335190834,-0.6515482335190834,6.2,0.65,-0.65,284.940997,46.56654,339.0,15.473,Kepler-band,3914.0,0.54,0.51,M0 V,1e+20,338.55,9.5,-14.0,9.5,-14.0,1e+20,1e+20,1e+20,1.9
Kepler-138,c,Transit,13.7813,0.0001,-0.0001,1e+20,1e+20,1.1993609382104389,0.06725388438563208,-0.06725388438563208,1.197,0.07,-0.07,1.9705361208869836,1.9133270076999422,-1.1187559912132552,1.97,1.912,-1.12,290.381547,43.292973,52.4,12.925,Kepler-band,3841.0,0.52,0.44,M1 V,1e+20,66.99,-20.6,22.7,-20.6,22.7,-36.33,4.89,1e+20,1e+20
LHS 1140,b,Transit,24.73712,0.00025,-0.00025,0.29,89.912,1.4347495335601512,0.10088082657844812,-0.10088082657844812,1.43,0.1,-0.1,6.648970265960597,1.8211567697874864,-1.8211567697874864,6.65,1.82,-1.82,11.24724,-15.271532,12.47,14.18,V (Johnson),3131.0,0.15,0.19,M4.5 V,1e+20,14.99,311.9,-581.7,317.6,-596.6,-13.23,1e+20,5.0,1e+20
NGTS-1,b,Transit,2.647298,2e-05,-2e-05,0.016,85.27,14.907944372148446,6.837478245872595,-3.698963641209765,14.908,6.837,-3.699,258.07666615487597,20.976674835248538,-23.837130494600608,258.07796,20.97678,-23.83725,82.714378,-36.630787,224.0,15.524,V (Johnson),3916.0,0.62,0.57,M0.5,1e+20,219.5,-32.9,-39.6,-31.9,-41.0,97.18,4.71,1e+20,1.0
K2-137,b,Transit,0.179715,1e-06,-1e-06,0.0,89.6,0.8855094777441558,0.08967184584750945,-0.08967184584750945,0.89,0.09,-0.09,158.9142032973374,0.0,0.0,158.915,0.0,0.0,186.870728,-6.195224,99.15,15.498,V (Johnson),3492.0,0.46,0.44,M3 V,10.09,99.15,-82.9,26.7,-79.5,3.2,1e+20,4.82,1e+20,1e+20
K2-95,b,Transit,10.13389,0.00068,-0.00077,1e+20,88.77,3.474784026590991,0.7846286511657077,-0.526822094354118,3.47,0.78,-0.53,10.990506300043855,2.7301460126482566,-2.7301460126482566,10.99,2.73,-2.73,129.362747,18.976685,180.66,15.498,Kepler-band,3471.0,0.36,0.4,M3.0,5.54,180.66,-35.8,-12.4,-35.8,-12.4,35.85,1e+20,0.8,2.6
TRAPPIST-1,e,Transit,6.099615,1.1e-05,-1.1e-05,0.085,89.86,0.9191364199369718,0.03362694219281604,-0.03362694219281604,0.918,0.039,-0.039,0.6197653928596158,0.5784477000023082,-0.5784477000023082,0.62,0.58,-0.58,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20
TRAPPIST-1,f,Transit,9.20669,1.5e-05,-1.5e-05,0.063,89.68,1.0424352079772974,0.03362694219281604,-0.03362694219281604,1.045,0.038,-0.038,0.680152790112604,0.1811621917589646,-0.1811621917589646,0.68,0.18,-0.18,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20
TRAPPIST-1,g,Transit,12.35294,0.00012,-0.00012,0.061,89.71,1.1321070538248068,0.044835922923754726,-0.044835922923754726,1.127,0.041,-0.041,1.3412358758295275,0.8803846862672491,-0.8803846862672491,1.34,0.88,-0.88,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20
