,#x
356,2.73E-09
357,2.48E-09
358,2.27E-09
359,2.12E-09
360,2.07E-09
361,2.15E-09
362,2.42E-09
363,2.91E-09
364,3.65E-09
365,4.62E-09
366,5.72E-09
367,6.73E-09
368,7.32E-09
369,7.22E-09
370,6.40E-09
371,5.12E-09
372,3.74E-09
373,2.53E-09
374,1.59E-09
375,9.50E-10
376,5.46E-10
377,3.13E-10
378,1.85E-10
379,1.16E-10
380,7.67E-11
381,5.34E-11
382,3.94E-11
383,3.12E-11
384,2.63E-11
385,2.31E-11
386,1.02E-10
387,3.36E-10
388,1.08E-09
389,2.80E-09
390,6.11E-09
391,1.19E-08
392,2.14E-08
393,3.59E-08
394,5.74E-08
395,8.96E-08
396,1.35E-07
397,1.67E-07
398,1.34E-07
399,7.93E-08
400,4.46E-08
401,2.64E-08
402,1.66E-08
403,1.13E-08
404,8.17E-09
405,6.35E-09
406,5.26E-09
407,4.57E-09
408,4.09E-09
409,3.71E-09
410,3.37E-09
411,3.06E-09
412,2.76E-09
413,2.51E-09
414,2.33E-09
415,2.26E-09
416,2.35E-09
417,2.66E-09
418,3.23E-09
419,4.11E-09
420,5.29E-09
421,6.66E-09
422,7.94E-09
423,8.73E-09
424,8.63E-09
425,7.61E-09
426,6.03E-09
427,4.35E-09
428,2.90E-09
429,1.81E-09
430,1.07E-09
431,6.07E-10
432,3.42E-10
433,1.99E-10
434,1.22E-10
435,7.92E-11
436,5.45E-11
437,3.99E-11
438,3.14E-11
439,2.64E-11
440,2.32E-11
441,6.91E-11
442,3.27E-10
443,1.13E-09
444,2.96E-09
445,6.55E-09
446,1.30E-08
447,2.41E-08
448,4.23E-08
449,7.16E-08
450,1.20E-07
451,1.99E-07
452,2.57E-07
453,1.85E-07
454,9.64E-08
455,5.10E-08
456,2.94E-08
457,1.84E-08
458,1.25E-08
459,9.16E-09
460,7.21E-09
461,6.04E-09
462,5.28E-09
463,4.74E-09
464,4.31E-09
465,3.91E-09
466,3.52E-09
467,3.17E-09
468,2.86E-09
469,2.63E-09
470,2.54E-09
471,2.64E-09
472,3.00E-09
473,3.67E-09
474,4.73E-09
475,6.18E-09
476,7.92E-09
477,9.61E-09
478,1.07E-08
479,1.06E-08
480,9.28E-09
481,7.25E-09
482,5.16E-09
483,3.40E-09
484,2.10E-09
485,1.23E-09
486,6.91E-10
487,3.85E-10
488,2.19E-10
489,1.32E-10
490,8.40E-11
491,5.67E-11
492,4.09E-11
493,3.18E-11
494,2.65E-11
495,2.32E-11
496,6.00E-11
497,3.35E-10
498,1.18E-09
499,3.15E-09
500,7.08E-09
501,1.44E-08
502,2.78E-08
503,5.15E-08
504,9.34E-08
505,1.71E-07
506,3.16E-07
507,4.14E-07
508,2.46E-07
509,1.13E-07
510,5.72E-08
511,3.26E-08
512,2.05E-08
513,1.41E-08
514,1.05E-08
515,8.38E-09
516,7.11E-09
517,6.28E-09
518,5.67E-09
519,5.15E-09
520,4.66E-09
521,4.19E-09
522,3.75E-09
523,3.37E-09
524,3.08E-09
525,2.96E-09
526,3.06E-09
527,3.47E-09
528,4.27E-09
529,5.55E-09
530,7.37E-09
531,9.62E-09
532,1.19E-08
533,1.34E-08
534,1.33E-08
535,1.16E-08
536,8.88E-09
537,6.21E-09
538,4.03E-09
539,2.47E-09
540,1.44E-09
541,8.09E-10
542,4.49E-10
543,2.54E-10
544,1.50E-10
545,9.35E-11
546,6.12E-11
547,4.28E-11
548,3.25E-11
549,2.68E-11
550,2.33E-11
551,5.93E-11
552,3.51E-10
553,1.26E-09
554,3.37E-09
555,7.71E-09
556,1.62E-08
557,3.26E-08
558,6.48E-08
559,1.29E-07
560,2.69E-07
561,5.73E-07
562,6.90E-07
563,3.09E-07
564,1.29E-07
565,6.37E-08
566,3.64E-08
567,2.32E-08
568,1.63E-08
569,1.23E-08
570,1.01E-08
571,8.65E-09
572,7.70E-09
573,6.98E-09
574,6.35E-09
575,5.75E-09
576,5.16E-09
577,4.61E-09
578,4.12E-09
579,3.76E-09
580,3.59E-09
581,3.69E-09
582,4.15E-09
583,5.10E-09
584,6.66E-09
585,8.95E-09
586,1.19E-08
587,1.51E-08
588,1.73E-08
589,1.72E-08
590,1.47E-08
591,1.11E-08
592,7.58E-09
593,4.86E-09
594,2.96E-09
595,1.73E-09
596,9.83E-10
597,5.52E-10
598,3.14E-10
599,1.84E-10
600,1.11E-10
601,6.98E-11
602,4.65E-11
603,3.38E-11
604,2.72E-11
605,2.34E-11
606,6.16E-11
607,3.71E-10
608,1.34E-09
609,3.62E-09
610,8.42E-09
611,1.82E-08
612,3.88E-08
613,8.48E-08
614,1.96E-07
615,5.04E-07
616,1.38E-06
617,1.15E-06
618,3.66E-07
619,1.45E-07
620,7.22E-08
621,4.19E-08
622,2.73E-08
623,1.95E-08
624,1.52E-08
625,1.26E-08
626,1.09E-08
627,9.80E-09
628,8.91E-09
629,8.11E-09
630,7.34E-09
631,6.59E-09
632,5.87E-09
633,5.25E-09
634,4.77E-09
635,4.53E-09
636,4.61E-09
637,5.14E-09
638,6.25E-09
639,8.16E-09
640,1.11E-08
641,1.50E-08
642,1.95E-08
643,2.28E-08
644,2.27E-08
645,1.91E-08
646,1.40E-08
647,9.38E-09
648,5.95E-09
649,3.63E-09
650,2.15E-09
651,1.24E-09
652,7.16E-10
653,4.14E-10
654,2.42E-10
655,1.42E-10
656,8.49E-11
657,5.28E-11
658,3.61E-11
659,2.78E-11
660,2.36E-11
661,6.49E-11
662,3.93E-10
663,1.42E-09
664,3.88E-09
665,9.18E-09
666,2.05E-08
667,4.65E-08
668,1.15E-07
669,3.37E-07
670,1.42E-06
671,7.96E-06
672,1.63E-06
673,4.17E-07
674,1.68E-07
675,8.59E-08
676,5.10E-08
677,3.40E-08
678,2.48E-08
679,1.96E-08
680,1.64E-08
681,1.44E-08
682,1.30E-08
683,1.18E-08
684,1.07E-08
685,9.70E-09
686,8.71E-09
687,7.77E-09
688,6.94E-09
689,6.31E-09
690,5.96E-09
691,6.00E-09
692,6.58E-09
693,7.90E-09
694,1.02E-08
695,1.40E-08
696,1.93E-08
697,2.57E-08
698,3.08E-08
699,3.08E-08
700,2.53E-08
701,1.80E-08
702,1.18E-08
