,Planet,Per,E_Per,e_Per,Rp/Rstar,E_Rp/Rstar,e_Rp/Rstar,T,E_T,e_T,Rp,E_Rp,e_Rp,Tmax-c,E_Tmax-c,e_Tmax-c,a,E_a,e_a,S,E_S,e_S,Samp,KOI,Teff,e_Teff,FeH,e_FeH,Rstar,E_Rstar,e_Rstar,Mstar-iso,E_Mstar-iso,e_Mstar-iso,Rstar-iso,E_Rstar-iso,e_Rstar-iso,age-iso,E_age-iso,e_age-iso
0,K00001.01,2.47061338,3e-08,-3e-08,12.387,0.006,-0.006, 1.2922,0.0004,-0.0004,14.04,0.53,-0.53,2.831,0.0786,-0.0786,0.0372,0.0005,-0.0005,814.8485,64.4292,-64.4292,0,1,5857,100,0.02,0.06,1.04,0.04,-0.04,1.02,0.04,-0.04,1.03,0.02,-0.02, 3.7, 2.4,-1.9
1,K00002.01,2.20473542,4e-08,-4e-08,7.518,0.001,-0.001, 3.5522,0.0004,-0.0004,16.42,0.58,-0.58,4.5793,0.096,-0.096,0.0393,0.0003,-0.0003,3855.6777,335.6856,-335.6856,1,2,6403,100,0.22,0.06,2.00,0.07,-0.07,1.50,0.03,-0.03,1.99,0.04,-0.04, 1.8, 0.2,-0.2
2,K00003.01,4.88780308,4.7e-07,-4.7e-07,5.8,0.039,-0.039, 2.2288,0.0029,-0.0029,4.92,0.15,-0.15,2.8378,0.0991,-0.0991,0.053,0.0006,-0.0006,80.9365,11.4086,-11.4086,1,3,4619,110,0.16,0.09,0.78,0.02,-0.02,0.76,0.03,-0.03,0.75,0.03,-0.03,11.2, 5.8,-6.9
3,K00007.01,3.21366893,1.09e-06,-1.09e-06,2.454,0.014,-0.014, 3.8442,0.0085,-0.0085,4.07,0.16,-0.16,4.2859,0.118,-0.118,0.0462,0.0007,-0.0007,1082.7087,87.1526,-87.1526,1,7,5817,100,0.18,0.06,1.52,0.06,-0.06,1.16,0.05,-0.07,1.50,0.04,-0.03, 5.5, 1.8,-1.2
4,K00010.01,3.52249843,2e-07,-2e-07,9.208,0.016,-0.016, 2.7523,0.0015,-0.0015,15.51,0.59,-0.59,4.4715,0.1214,-0.1214,0.0496,0.0006,-0.0006,1262.1503,103.7788,-103.7788,1,10,6202,100,-0.09,0.06,1.54,0.06,-0.06,1.20,0.04,-0.05,1.53,0.03,-0.03, 3.6, 1.1,-0.6
5,K00017.01,3.23469928,1.2e-07,-1.2e-07,9.256,0.002,-0.002, 3.2609,0.0009,-0.0009,12.73,0.5,-0.5,3.654,0.1066,-0.1066,0.0456,0.0006,-0.0006,698.4508,61.6655,-61.6655,1,17,5673,100,0.36,0.06,1.26,0.05,-0.05,1.10,0.04,-0.05,1.25,0.03,-0.03, 6.0, 2.0,-1.8
6,K00018.01,3.54846545,1.8e-07,-1.8e-07,7.823,0.002,-0.002, 4.1861,0.0012,-0.0012,14.88,0.59,-0.59,4.8507,0.1304,-0.1304,0.0516,0.0004,-0.0004,1601.291,163.2277,-163.2277,1,18,6326,100,0.03,0.06,1.74,0.07,-0.07,1.33,0.03,-0.03,1.72,0.05,-0.05, 2.6, 0.3,-0.3
7,K00020.01,4.43796293,1.7e-07,-1.7e-07,11.677,0.002,-0.002, 4.1623,0.0009,-0.0009,19.15,0.74,-0.74,4.7613,0.1322,-0.1322,0.0568,0.0009,-0.0009,765.9483,60.0783,-60.0783,1,20,5934,100,0.04,0.06,1.50,0.06,-0.06,1.14,0.05,-0.06,1.49,0.03,-0.03, 5.3, 1.6,-1.1
8,K00022.01,7.89144884,5.1e-07,-5.1e-07,9.343,0.017,-0.017, 3.8564,0.0015,-0.0015,12.82,0.48,-0.48,4.8448,0.1262,-0.1262,0.0829,0.001,-0.001,246.1935,20.3731,-20.3731,1,22,5896,100,0.21,0.06,1.26,0.05,-0.05,1.13,0.04,-0.04,1.25,0.03,-0.02, 4.2, 1.6,-1.4
9,K00041.01,12.81590421,1.945e-05,-1.945e-05,1.362,0.042,-0.042, 6.1747,0.0371,-0.0371,2.27,0.11,-0.11,6.7966,0.1703,-0.1703,0.1148,0.0019,-0.0019,182.8119,12.8827,-12.8827,1,41,5865,100,0.11,0.06,1.52,0.06,-0.06,1.15,0.05,-0.06,1.51,0.03,-0.03, 5.5, 1.7,-1.2
10,K00041.02,6.88707073,2.277e-05,-2.277e-05,0.762,0.03,-0.03, 4.3490,0.0753,-0.0753,1.27,0.07,-0.07,5.5371,0.1387,-0.1387,0.0762,0.0012,-0.0012,414.9806,29.2435,-29.2435,1,41,5865,100,0.11,0.06,1.52,0.06,-0.06,1.15,0.05,-0.06,1.51,0.03,-0.03, 5.5, 1.7,-1.2
11,K00041.03,35.3331932,0.0002248,-0.0002248,0.92,0.038,-0.038, 5.7863,0.1249,-0.1249,1.53,0.08,-0.08,9.498,0.2379,-0.2379,0.2241,0.0036,-0.0036,47.9327,3.3778,-3.3778,1,41,5865,100,0.11,0.06,1.52,0.06,-0.06,1.15,0.05,-0.06,1.51,0.03,-0.03, 5.5, 1.7,-1.2
12,K00042.01,17.83367834,1.385e-05,-1.385e-05,1.671,0.016,-0.016, 4.3997,0.0171,-0.0171,2.73,0.1,-0.1,7.2786,0.1469,-0.1469,0.1476,0.001,-0.001,150.7029,12.5153,-12.5153,1,42,6367,100,0.01,0.06,1.49,0.05,-0.05,1.27,0.03,-0.03,1.49,0.02,-0.03, 2.4, 0.5,-0.4
13,K00046.01,3.48768878,1.11e-06,-1.11e-06,3.254,0.021,-0.021, 3.6795,0.0082,-0.0082,5.9,0.25,-0.25,4.7439,0.1658,-0.1658,0.0491,0.001,-0.001,999.4088,78.7283,-78.7283,1,46,5623,100,0.39,0.06,1.66,0.07,-0.07,1.19,0.08,-0.06,1.64,0.04,-0.04, 6.0, 1.7,-1.6
14,K00049.01,8.31377304,4.206e-05,-4.206e-05,2.671,0.114,-0.114, 2.8725,0.1139,-0.1139,3.77,0.22,-0.22,5.2677,0.1518,-0.1518,0.0822,0.0012,-0.0012,246.7644,20.1944,-20.1944,0,49,5803,100,-0.06,0.06,1.29,0.05,-0.05,0.99,0.04,-0.04,1.28,0.03,-0.03, 8.5, 1.9,-1.8
15,K00063.01,9.43414171,2.136e-05,-2.136e-05,5.786,0.236,-0.236, 2.5838,0.0558,-0.0558,5.64,0.32,-0.32,3.8977,0.0618,-0.0618,0.0892,0.0007,-0.0007,93.0483,7.9202,-7.9202,1,63,5633,100,0.23,0.06,0.89,0.04,-0.03,0.99,0.02,-0.03,0.91,0.01,-0.01, 1.4, 1.9,-0.9
16,K00069.01,4.72674037,1.57e-06,-1.57e-06,1.522,0.043,-0.043, 2.8331,0.0120,-0.0120,1.57,0.07,-0.07,3.3011,0.0962,-0.0962,0.0548,0.0008,-0.0008,259.1408,20.7193,-20.7193,1,69,5619,100,-0.1,0.06,0.94,0.04,-0.04,0.90,0.04,-0.04,0.93,0.02,-0.02, 6.9, 3.3,-3.1
17,K00070.01,10.85409593,4.98e-06,-4.98e-06,2.923,0.054,-0.054, 3.6214,0.0120,-0.0120,2.81,0.12,-0.12,4.0373,0.0845,-0.0845,0.0961,0.001,-0.001,69.4351,5.7156,-5.7156,1,70,5515,100,0.1,0.06,0.88,0.04,-0.03,0.94,0.03,-0.03,0.88,0.01,-0.01, 2.8, 2.9,-1.8
18,K00070.02,3.69612127,2.39e-06,-2.39e-06,1.781,0.038,-0.038, 2.4046,0.0170,-0.0170,1.72,0.08,-0.08,2.8294,0.0592,-0.0592,0.0472,0.0005,-0.0005,287.8311,23.6929,-23.6929,1,70,5515,100,0.1,0.06,0.88,0.04,-0.03,0.94,0.03,-0.03,0.88,0.01,-0.01, 2.8, 2.9,-1.8
19,K00070.04,6.09855603,2.536e-05,-2.536e-05,0.842,0.038,-0.038, 2.9191,0.0996,-0.0996,0.81,0.05,-0.05,3.3379,0.0699,-0.0699,0.0657,0.0007,-0.0007,148.6151,12.2333,-12.2333,1,70,5515,100,0.1,0.06,0.88,0.04,-0.03,0.94,0.03,-0.03,0.88,0.01,-0.01, 2.8, 2.9,-1.8
20,K00070.05,19.5776073,0.0001427,-0.0001427,0.902,0.042,-0.042, 3.3847,0.1704,-0.1704,0.86,0.05,-0.05,4.9048,0.1027,-0.1027,0.1419,0.0015,-0.0015,31.8742,2.6237,-2.6237,1,70,5515,100,0.1,0.06,0.88,0.04,-0.03,0.94,0.03,-0.03,0.88,0.01,-0.01, 2.8, 2.9,-1.8
21,K00072.02,45.29422297,5.6e-05,-5.6e-05,1.996,0.04,-0.04, 6.6134,0.0281,-0.0281,2.36,0.1,-0.1,7.9886,0.2301,-0.2301,0.2431,0.0033,-0.0033,17.5162,1.4632,-1.4632,1,72,5635,100,-0.11,0.06,1.08,0.04,-0.04,0.89,0.04,-0.04,1.07,0.02,-0.02,11.1, 2.8,-2.7
22,K00075.01,105.8817667,0.0001312,-0.0001312,3.697,0.047,-0.047,16.7700,0.0320,-0.0320,10.27,0.41,-0.41,21.8077,0.4626,-0.4626,0.4841,0.0031,-0.0031,29.0658,2.8009,-2.8009,1,75,5869,100,-0.08,0.06,2.55,0.10,-0.10,1.32,0.03,-0.03,2.53,0.05,-0.05, 3.2, 0.2,-0.1
23,K00082.01,16.14567193,7.44e-06,-7.44e-06,2.75,0.071,-0.071, 3.4892,0.0140,-0.0140,2.23,0.09,-0.09,4.1824,0.1469,-0.1469,0.1168,0.0016,-0.0016,18.694,2.5358,-2.5358,1,82,4763,110,0.09,0.09,0.74,0.02,-0.02,0.76,0.03,-0.03,0.74,0.03,-0.03, 8.3, 6.9,-5.7
24,K00082.02,10.31174786,1.226e-05,-1.226e-05,1.495,0.053,-0.053, 3.0710,0.0320,-0.0320,1.21,0.06,-0.06,3.6072,0.1267,-0.1267,0.0869,0.0012,-0.0012,33.7861,4.583,-4.583,1,82,4763,110,0.09,0.09,0.74,0.02,-0.02,0.76,0.03,-0.03,0.74,0.03,-0.03, 8.3, 6.9,-5.7
25,K00082.03,27.4536146,0.0001077,-0.0001077,1.055,0.047,-0.047, 3.6309,0.0990,-0.0990,0.85,0.05,-0.05,4.9831,0.175,-0.175,0.1658,0.0023,-0.0023,9.2765,1.2583,-1.2583,1,82,4763,110,0.09,0.09,0.74,0.02,-0.02,0.76,0.03,-0.03,0.74,0.03,-0.03, 8.3, 6.9,-5.7
26,K00082.04,7.07136119,3.085e-05,-3.085e-05,0.732,0.04,-0.04, 2.7365,0.1117,-0.1117,0.59,0.04,-0.04,3.1849,0.1119,-0.1119,0.0677,0.0009,-0.0009,55.5894,7.5405,-7.5405,1,82,4763,110,0.09,0.09,0.74,0.02,-0.02,0.76,0.03,-0.03,0.74,0.03,-0.03, 8.3, 6.9,-5.7
27,K00082.05,5.28691996,2.947e-05,-2.947e-05,0.584,0.033,-0.033, 2.5292,0.1372,-0.1372,0.47,0.03,-0.03,2.8935,0.1016,-0.1016,0.0559,0.0008,-0.0008,81.6035,11.0692,-11.0692,1,82,4763,110,0.09,0.09,0.74,0.02,-0.02,0.76,0.03,-0.03,0.74,0.03,-0.03, 8.3, 6.9,-5.7
28,K00084.01,9.28696447,3.83e-06,-3.83e-06,2.396,0.043,-0.043, 3.2678,0.0105,-0.0105,2.31,0.1,-0.1,3.8763,0.1074,-0.1074,0.0854,0.0011,-0.0011,86.6932,7.247,-7.247,1,84,5509,100,-0.05,0.06,0.88,0.04,-0.03,0.89,0.04,-0.04,0.88,0.02,-0.02, 5.0, 3.6,-2.9
29,K00085.01,5.85993596,3.78e-06,-3.78e-06,1.655,0.022,-0.022, 3.9173,0.0151,-0.0151,2.61,0.1,-0.1,4.8275,0.075,-0.075,0.0707,0.0006,-0.0006,551.3774,45.9862,-45.9862,1,85,6229,100,0.15,0.06,1.44,0.05,-0.05,1.27,0.03,-0.03,1.43,0.03,-0.02, 2.4, 0.6,-0.5
30,K00085.02,2.15491124,2.51e-06,-2.51e-06,0.924,0.024,-0.024, 3.0701,0.0349,-0.0349,1.46,0.06,-0.06,3.4701,0.0539,-0.0539,0.0365,0.0003,-0.0003,2065.0983,172.2343,-172.2343,1,85,6229,100,0.15,0.06,1.44,0.05,-0.05,1.27,0.03,-0.03,1.43,0.03,-0.02, 2.4, 0.6,-0.5
31,K00085.03,8.13121389,1.902e-05,-1.902e-05,0.978,0.031,-0.031, 4.1273,0.0542,-0.0542,1.54,0.07,-0.07,5.3786,0.0836,-0.0836,0.0878,0.0007,-0.0007,357.8182,29.8429,-29.8429,1,85,6229,100,0.15,0.06,1.44,0.05,-0.05,1.27,0.03,-0.03,1.43,0.03,-0.02, 2.4, 0.6,-0.5
32,K00087.01,289.864067,0.00121,-0.00121,2.101,0.067,-0.067, 6.8992,0.0719,-0.0719,1.94,0.1,-0.1,11.7925,0.3354,-0.3354,0.8138,0.0112,-0.0112,0.9095,0.0739,-0.0739,0,87,5555,100,-0.22,0.06,0.84,0.03,-0.03,0.85,0.04,-0.04,0.84,0.02,-0.02, 5.7, 3.9,-3.2
33,K00092.01,65.7045275,0.0001061,-0.0001061,2.327,0.065,-0.065, 3.1589,0.0352,-0.0352,2.71,0.13,-0.13,8.4213,0.205,-0.205,0.3297,0.004,-0.004,11.4505,0.8962,-0.8962,0,92,5932,100,0.09,0.06,1.06,0.04,-0.04,1.07,0.04,-0.04,1.06,0.02,-0.02, 2.4, 1.9,-1.4
34,K00094.01,22.34296483,3.4e-06,-3.4e-06,6.872,0.005,-0.005, 6.1716,0.0037,-0.0037,10.44,0.39,-0.39,7.3957,0.1694,-0.1694,0.1683,0.0015,-0.0015,87.9137,7.4314,-7.4314,1,94,6170,100,0.07,0.06,1.39,0.05,-0.05,1.21,0.03,-0.04,1.39,0.02,-0.03, 3.1, 0.8,-0.6
35,K00094.02,10.42367744,7.17e-06,-7.17e-06,2.573,0.024,-0.024, 5.0224,0.0153,-0.0153,3.92,0.15,-0.15,5.7506,0.1317,-0.1317,0.1018,0.0009,-0.0009,240.5109,20.3307,-20.3307,1,94,6170,100,0.07,0.06,1.39,0.05,-0.05,1.21,0.03,-0.04,1.39,0.02,-0.03, 3.1, 0.8,-0.6
36,K00094.03,54.31996151,3.391e-05,-3.391e-05,4.081,0.024,-0.024, 8.0230,0.0147,-0.0147,6.21,0.23,-0.23,9.9152,0.227,-0.227,0.3025,0.0027,-0.0027,27.213,2.3003,-2.3003,1,94,6170,100,0.07,0.06,1.39,0.05,-0.05,1.21,0.03,-0.04,1.39,0.02,-0.03, 3.1, 0.8,-0.6
37,K00094.04,3.74316673,5.61e-06,-5.61e-06,1.068,0.032,-0.032, 3.6210,0.0448,-0.0448,1.63,0.08,-0.08,4.1014,0.0939,-0.0939,0.0518,0.0005,-0.0005,929.4942,78.5712,-78.5712,1,94,6170,100,0.07,0.06,1.39,0.05,-0.05,1.21,0.03,-0.04,1.39,0.02,-0.03, 3.1, 0.8,-0.6
38,K00097.01,4.8854886,2.7e-07,-2.7e-07,7.988,0.011,-0.011, 4.6675,0.0014,-0.0014,17.39,0.73,-0.73,6.1015,0.1792,-0.1792,0.0646,0.001,-0.001,1114.1111,97.0265,-97.0265,1,97,6040,100,0.18,0.06,1.99,0.09,-0.08,1.39,0.04,-0.10,1.98,0.05,-0.05, 2.9, 1.1,-0.3
39,K00103.01,14.91095177,1.275e-05,-1.275e-05,2.684,0.046,-0.046, 3.2216,0.0204,-0.0204,2.56,0.11,-0.11,4.4598,0.0964,-0.0964,0.118,0.0013,-0.0013,47.2464,3.9855,-3.9855,1,103,5578,100,0.0,0.06,0.87,0.04,-0.03,0.92,0.03,-0.03,0.87,0.02,-0.01, 2.8, 2.8,-1.8
40,K00104.01,2.5080575,3.8e-07,-3.8e-07,3.822,0.147,-0.147, 1.0301,0.0072,-0.0072,3.21,0.16,-0.16,2.2395,0.0681,-0.0681,0.0338,0.0004,-0.0004,163.8063,16.695,-16.695,1,104,4457,70,0.22,0.09,0.77,0.02,-0.02,0.74,0.02,-0.02,0.73,0.02,-0.02,12.1, 5.3,-7.1
41,K00105.01,8.98101493,3.09e-06,-3.09e-06,2.986,0.045,-0.045, 1.7965,0.0084,-0.0084,3.55,0.15,-0.15,4.8485,0.1176,-0.1176,0.0805,0.0008,-0.0008,150.8269,13.8199,-13.8199,0,105,5563,100,-0.37,0.06,1.08,0.04,-0.04,0.80,0.03,-0.02,1.07,0.02,-0.02,16.6, 2.0,-2.5
42,K00107.01,7.25696245,5.84e-06,-5.84e-06,1.966,0.037,-0.037, 4.7147,0.0207,-0.0207,3.42,0.15,-0.15,5.7536,0.1458,-0.1458,0.0814,0.0008,-0.0008,423.3442,38.9496,-38.9496,1,107,5937,100,0.28,0.06,1.58,0.06,-0.06,1.27,0.03,-0.05,1.59,0.03,-0.04, 3.7, 1.2,-0.6
43,K00108.01,15.96532718,1.368e-05,-1.368e-05,2.01,0.032,-0.032, 4.3797,0.0202,-0.0202,3.3,0.14,-0.14,7.1814,0.1933,-0.1933,0.1336,0.002,-0.002,134.8972,10.5178,-10.5178,1,108,5904,100,0.14,0.06,1.50,0.06,-0.06,1.17,0.04,-0.06,1.49,0.03,-0.03, 4.9, 1.6,-1.0
44,K00108.02,179.609803,0.0001823,-0.0001823,3.326,0.085,-0.085,12.5465,0.0445,-0.0445,5.46,0.25,-0.25,15.962,0.4296,-0.4296,0.66,0.0098,-0.0098,5.5269,0.4309,-0.4309,1,108,5904,100,0.14,0.06,1.50,0.06,-0.06,1.17,0.04,-0.06,1.49,0.03,-0.03, 4.9, 1.6,-1.0
45,K00110.01,9.94066641,6.98e-06,-6.98e-06,2.099,0.024,-0.024, 3.8031,0.0158,-0.0158,2.83,0.11,-0.11,5.166,0.1426,-0.1426,0.0957,0.0012,-0.0012,222.3848,18.1366,-18.1366,1,110,6241,100,-0.16,0.06,1.23,0.05,-0.05,1.10,0.04,-0.04,1.22,0.03,-0.03, 3.3, 1.3,-1.1
46,K00111.01,11.42755098,8.15e-06,-8.15e-06,2.059,0.019,-0.019, 4.4207,0.0157,-0.0157,2.34,0.09,-0.09,4.9833,0.1466,-0.1466,0.0961,0.0013,-0.0013,118.6091,9.7681,-9.7681,1,111,5822,100,-0.42,0.06,1.04,0.04,-0.04,0.84,0.04,-0.03,1.03,0.02,-0.02,11.2, 2.8,-2.6
47,K00111.02,23.66834635,3.003e-05,-3.003e-05,1.959,0.04,-0.04, 5.5303,0.0287,-0.0287,2.23,0.1,-0.1,6.3368,0.1865,-0.1865,0.1554,0.0021,-0.0021,45.3643,3.736,-3.736,1,111,5822,100,-0.42,0.06,1.04,0.04,-0.04,0.84,0.04,-0.03,1.03,0.02,-0.02,11.2, 2.8,-2.6
48,K00111.03,51.75530504,8.535e-05,-8.535e-05,2.285,0.049,-0.049, 7.0700,0.0339,-0.0339,2.6,0.11,-0.11,8.2035,0.2414,-0.2414,0.2604,0.0035,-0.0035,16.1509,1.3301,-1.3301,1,111,5822,100,-0.42,0.06,1.04,0.04,-0.04,0.84,0.04,-0.03,1.03,0.02,-0.02,11.2, 2.8,-2.6
49,K00115.01,5.41220393,3.05e-06,-3.05e-06,2.243,0.051,-0.051, 2.7679,0.0141,-0.0141,2.52,0.11,-0.11,3.6153,0.099,-0.099,0.0623,0.0008,-0.0008,301.5999,24.3324,-24.3324,1,115,5961,100,-0.08,0.06,1.02,0.04,-0.04,1.01,0.04,-0.04,1.02,0.02,-0.02, 3.1, 2.2,-1.7
50,K00115.02,7.12594387,1.406e-05,-1.406e-05,1.276,0.041,-0.041, 2.8041,0.0465,-0.0465,1.43,0.07,-0.07,3.9588,0.1084,-0.1084,0.0747,0.001,-0.001,209.765,16.9233,-16.9233,1,115,5961,100,-0.08,0.06,1.02,0.04,-0.04,1.01,0.04,-0.04,1.02,0.02,-0.02, 3.1, 2.2,-1.7
51,K00116.01,13.57078281,1.585e-05,-1.585e-05,2.079,0.054,-0.054, 3.0766,0.0268,-0.0268,2.36,0.11,-0.11,4.9859,0.1531,-0.1531,0.1132,0.0016,-0.0016,87.9019,7.3565,-7.3565,1,116,5881,100,-0.09,0.06,1.03,0.04,-0.04,0.98,0.04,-0.04,1.03,0.02,-0.02, 4.6, 2.5,-2.1
52,K00116.02,43.84439721,9.613e-05,-9.613e-05,2.291,0.097,-0.097, 6.1820,0.0502,-0.0502,2.61,0.15,-0.15,7.342,0.2254,-0.2254,0.2454,0.0035,-0.0035,18.6943,1.5645,-1.5645,1,116,5881,100,-0.09,0.06,1.03,0.04,-0.04,0.98,0.04,-0.04,1.03,0.02,-0.02, 4.6, 2.5,-2.1
53,K00116.03,6.164876,4.635e-05,-4.635e-05,0.694,0.037,-0.037, 3.1272,0.1899,-0.1899,0.78,0.05,-0.05,3.8429,0.118,-0.118,0.0672,0.001,-0.001,249.0786,20.8453,-20.8453,1,116,5881,100,-0.09,0.06,1.03,0.04,-0.04,0.98,0.04,-0.04,1.03,0.02,-0.02, 4.6, 2.5,-2.1
54,K00116.04,23.9800854,0.0002003,-0.0002003,0.942,0.043,-0.043, 4.8354,0.2015,-0.2015,1.06,0.06,-0.06,6.0164,0.1847,-0.1847,0.1648,0.0023,-0.0023,41.4604,3.4698,-3.4698,1,116,5881,100,-0.09,0.06,1.03,0.04,-0.04,0.98,0.04,-0.04,1.03,0.02,-0.02, 4.6, 2.5,-2.1
55,K00117.01,14.74914825,2.174e-05,-2.174e-05,1.902,0.051,-0.051, 5.9084,0.0357,-0.0357,3.02,0.14,-0.14,6.7168,0.1815,-0.1815,0.1281,0.0015,-0.0015,133.2633,11.6119,-11.6119,1,117,5858,100,0.33,0.06,1.44,0.06,-0.05,1.21,0.03,-0.05,1.44,0.03,-0.03, 4.2, 1.6,-0.9
56,K00117.02,4.90144976,1.07e-05,-1.07e-05,1.089,0.039,-0.039, 4.0580,0.0601,-0.0601,1.73,0.09,-0.09,4.6696,0.1262,-0.1262,0.0619,0.0007,-0.0007,570.4985,49.7104,-49.7104,1,117,5858,100,0.33,0.06,1.44,0.06,-0.05,1.21,0.03,-0.05,1.44,0.03,-0.03, 4.2, 1.6,-0.9
57,K00117.03,3.1800279,7.28e-06,-7.28e-06,1.007,0.035,-0.035, 3.5041,0.0572,-0.0572,1.6,0.08,-0.08,4.0483,0.1094,-0.1094,0.0465,0.0005,-0.0005,1009.89,87.9968,-87.9968,1,117,5858,100,0.33,0.06,1.44,0.06,-0.05,1.21,0.03,-0.05,1.44,0.03,-0.03, 4.2, 1.6,-0.9
58,K00117.04,7.95825328,7.673e-05,-7.673e-05,0.648,0.033,-0.033, 4.3246,0.2270,-0.2270,1.02,0.06,-0.06,5.4795,0.1481,-0.1481,0.0852,0.001,-0.001,300.887,26.2178,-26.2178,1,117,5858,100,0.33,0.06,1.44,0.06,-0.05,1.21,0.03,-0.05,1.44,0.03,-0.03, 4.2, 1.6,-0.9
59,K00118.01,24.99324319,6.127e-05,-6.127e-05,1.506,0.048,-0.048, 5.7140,0.0574,-0.0574,2.29,0.12,-0.12,7.9413,0.2343,-0.2343,0.1742,0.0028,-0.0028,63.167,4.9772,-4.9772,1,118,5791,100,0.09,0.06,1.39,0.06,-0.05,1.07,0.06,-0.05,1.38,0.03,-0.03, 7.0, 1.8,-1.8
60,K00122.01,11.52306746,9.45e-06,-9.45e-06,2.043,0.029,-0.029, 3.7703,0.0184,-0.0184,3.16,0.13,-0.13,6.181,0.1858,-0.1858,0.1054,0.0017,-0.0017,161.7144,13.0233,-13.0233,1,122,5660,100,0.27,0.06,1.41,0.06,-0.06,1.10,0.06,-0.05,1.40,0.03,-0.03, 7.1, 2.0,-1.8
61,K00123.01,6.48163307,6e-06,-6e-06,1.588,0.036,-0.036, 3.5687,0.0221,-0.0221,2.34,0.1,-0.1,4.9206,0.1386,-0.1386,0.0716,0.001,-0.001,387.3626,30.7936,-30.7936,1,123,5942,100,-0.02,0.06,1.34,0.05,-0.05,1.07,0.05,-0.05,1.33,0.03,-0.03, 5.9, 1.6,-1.4
62,K00123.02,21.22261195,2.908e-05,-2.908e-05,1.762,0.054,-0.054, 6.3153,0.0337,-0.0337,2.6,0.13,-0.13,7.2779,0.2049,-0.2049,0.1566,0.0023,-0.0023,80.9407,6.4344,-6.4344,1,123,5942,100,-0.02,0.06,1.34,0.05,-0.05,1.07,0.05,-0.05,1.33,0.03,-0.03, 5.9, 1.6,-1.4
63,K00124.02,31.71981013,6.31e-05,-6.31e-05,1.757,0.04,-0.04, 4.6838,0.0454,-0.0454,2.38,0.11,-0.11,7.7565,0.2277,-0.2277,0.2014,0.0027,-0.0027,42.4015,3.6174,-3.6174,1,124,5977,100,-0.1,0.06,1.24,0.05,-0.05,1.03,0.04,-0.04,1.23,0.03,-0.03, 6.0, 1.8,-1.6
64,K00125.01,38.47876629,4.73e-06,-4.73e-06,13.815,0.008,-0.008, 4.3963,0.0029,-0.0029,12.28,0.49,-0.49,5.8397,0.0944,-0.0944,0.2193,0.0017,-0.0017,11.3771,0.9995,-0.9995,1,125,5459,100,0.11,0.06,0.81,0.03,-0.03,0.91,0.02,-0.02,0.83,0.01,-0.01, 1.6, 2.1,-1.1
65,K00127.01,3.57878057,1.8e-07,-1.8e-07,9.601,0.005,-0.005, 2.6430,0.0012,-0.0012,10.33,0.41,-0.41,3.0324,0.0732,-0.0732,0.0478,0.0005,-0.0005,368.3189,31.4111,-31.4111,1,127,5575,100,0.36,0.06,0.99,0.04,-0.04,1.04,0.03,-0.04,0.99,0.02,-0.02, 2.6, 2.6,-1.7
66,K00128.01,4.94278342,2.5e-07,-2.5e-07,9.942,0.02,-0.02, 2.8243,0.0014,-0.0014,13.17,0.56,-0.56,4.0948,0.1313,-0.1313,0.0595,0.0008,-0.0008,374.333,35.8809,-35.8809,1,128,5652,100,0.27,0.06,1.21,0.05,-0.05,1.05,0.04,-0.04,1.20,0.03,-0.03, 7.0, 2.3,-2.0
67,K00129.01,24.66919273,7.57e-06,-7.57e-06,7.632,0.009,-0.009, 6.4578,0.0068,-0.0068,12.73,0.46,-0.46,8.077,0.1955,-0.1955,0.1856,0.0013,-0.0013,117.0483,10.6424,-10.6424,0,129,6662,100,-0.03,0.06,1.53,0.06,-0.05,1.33,0.03,-0.03,1.51,0.04,-0.03, 1.7, 0.3,-0.3
68,K00131.01,5.01423473,8.6e-07,-8.6e-07,7.448,0.01,-0.01, 4.2289,0.0037,-0.0037,13.34,0.52,-0.52,5.0163,0.1362,-0.1362,0.066,0.0005,-0.0005,960.4031,95.4985,-95.4985,0,131,6498,100,0.21,0.06,1.64,0.07,-0.06,1.41,0.04,-0.04,1.62,0.05,-0.04, 1.6, 0.3,-0.4
69,K00135.01,3.02409251,2.2e-07,-2.2e-07,8.181,0.037,-0.037, 2.5327,0.0021,-0.0021,12.17,0.49,-0.49,3.7099,0.1004,-0.1004,0.0454,0.0004,-0.0004,1012.5654,101.7696,-101.7696,1,135,5971,100,0.37,0.06,1.36,0.06,-0.05,1.24,0.03,-0.03,1.35,0.03,-0.03, 2.8, 0.9,-0.8
70,K00137.01,7.64156759,1.77e-06,-1.77e-06,4.273,0.022,-0.022, 3.2536,0.0057,-0.0057,4.26,0.17,-0.17,3.6836,0.0831,-0.0831,0.0772,0.0009,-0.0009,109.6009,9.1818,-9.1818,1,137,5440,100,0.28,0.06,0.91,0.04,-0.04,0.97,0.03,-0.04,0.91,0.02,-0.01, 3.0, 3.3,-2.0
71,K00137.02,14.85890852,3.81e-06,-3.81e-06,5.142,0.045,-0.045, 3.3238,0.0060,-0.0060,5.13,0.21,-0.21,4.5875,0.1035,-0.1035,0.1197,0.0014,-0.0014,45.5609,3.8168,-3.8168,1,137,5440,100,0.28,0.06,0.91,0.04,-0.04,0.97,0.03,-0.04,0.91,0.02,-0.01, 3.0, 3.3,-2.0
