,Planet,Per,E_Per,e_Per,Rp/Rstar,E_Rp/Rstar,e_Rp/Rstar,T,E_T,e_T,Rp,E_Rp,e_Rp,Tmax-c,E_Tmax-c,e_Tmax-c,a,E_a,e_a,S,E_S,e_S,Samp,KOI,Teff,e_Teff,FeH,e_FeH,Rstar,E_Rstar,e_Rstar,Mstar-iso,E_Mstar-iso,e_Mstar-iso,Rstar-iso,E_Rstar-iso,e_Rstar-iso,age-iso,E_age-iso,e_age-iso
801,K02053.02,4.6126736,1.208e-05,-1.208e-05,1.069,0.038,-0.038, 2.9739,0.0663,-0.0663,1.63,0.09,-0.09,4.4063,0.1047,-0.1047,0.0596,0.0005,-0.0005,714.9641,66.1731,-66.1731,1,2053,6183,100,0.08,0.06,1.40,0.06,-0.05,1.22,0.03,-0.04,1.39,0.03,-0.03, 3.0, 0.8,-0.6
802,K02057.01,5.94565516,1.691e-05,-1.691e-05,1.838,0.079,-0.079, 2.0833,0.0697,-0.0697,1.19,0.06,-0.06,2.5819,0.0484,-0.0484,0.055,0.0004,-0.0004,23.2282,2.5309,-2.5309,1,2057,3906,70,-0.17,0.09,0.59,0.02,-0.02,0.57,0.01,-0.01,0.58,0.02,-0.02,13.2, 4.7,-7.0
803,K02060.01,2.80011127,4.01e-06,-4.01e-06,2.437,0.108,-0.108, 0.9530,0.0466,-0.0466,1.92,0.11,-0.11,2.3139,0.076,-0.076,0.0366,0.0005,-0.0005,172.8481,23.4483,-23.4483,1,2060,4691,110,0.12,0.09,0.72,0.03,-0.02,0.75,0.03,-0.03,0.73,0.03,-0.02, 7.8, 7.0,-5.4
804,K02071.01,3.85690686,1.118e-05,-1.118e-05,1.036,0.051,-0.051, 1.9973,0.0755,-0.0755,0.95,0.06,-0.06,2.7808,0.0644,-0.0644,0.0479,0.0005,-0.0005,212.9911,18.701,-18.701,1,2071,5269,100,0.17,0.06,0.84,0.04,-0.03,0.90,0.03,-0.03,0.84,0.01,-0.01, 3.5, 4.0,-2.4
805,K02072.01,1.54320541,3.84e-06,-3.84e-06,0.88,0.031,-0.031, 2.5657,0.0638,-0.0638,1.3,0.07,-0.07,3.1919,0.0919,-0.0919,0.0268,0.0004,-0.0004,2554.8439,214.9273,-214.9273,1,2072,5811,100,-0.16,0.06,1.35,0.05,-0.05,0.96,0.04,-0.04,1.34,0.03,-0.03, 9.4, 1.8,-1.7
806,K02073.01,49.5004725,0.0003399,-0.0003399,2.801,0.146,-0.146, 5.5476,0.1479,-0.1479,2.2,0.16,-0.16,6.06,0.2068,-0.2068,0.2472,0.0029,-0.0029,4.9428,0.6136,-0.6136,1,2073,4938,100,0.06,0.06,0.71,0.04,-0.03,0.79,0.03,-0.03,0.75,0.03,-0.02, 5.3, 6.7,-3.8
807,K02073.02,6.47539108,2.105e-05,-2.105e-05,2.086,0.094,-0.094, 2.6015,0.0770,-0.0770,1.63,0.11,-0.11,3.0972,0.1057,-0.1057,0.0646,0.0008,-0.0008,72.4416,8.993,-8.993,1,2073,4938,100,0.06,0.06,0.71,0.04,-0.03,0.79,0.03,-0.03,0.75,0.03,-0.02, 5.3, 6.7,-3.8
808,K02073.03,16.85825609,6.042e-05,-6.042e-05,2.503,0.154,-0.154, 1.9474,0.0791,-0.0791,1.96,0.15,-0.15,4.2472,0.1449,-0.1449,0.1214,0.0014,-0.0014,20.4864,2.5432,-2.5432,0,2073,4938,100,0.06,0.06,0.71,0.04,-0.03,0.79,0.03,-0.03,0.75,0.03,-0.02, 5.3, 6.7,-3.8
809,K02078.01,18.78429232,7.633e-05,-7.633e-05,2.851,0.148,-0.148, 2.9430,0.0929,-0.0929,2.05,0.13,-0.13,4.0651,0.1128,-0.1128,0.1236,0.0015,-0.0015,8.644,0.8915,-0.8915,1,2078,4293,70,0.1,0.09,0.66,0.02,-0.02,0.67,0.03,-0.02,0.66,0.02,-0.02, 9.1, 6.8,-6.2
810,K02078.02,161.515617,0.001258,-0.001258,4.236,0.618,-0.618, 6.1817,0.4449,-0.4449,3.06,0.46,-0.46,8.2686,0.2295,-0.2295,0.5114,0.0062,-0.0062,0.505,0.0521,-0.0521,1,2078,4293,70,0.1,0.09,0.66,0.02,-0.02,0.67,0.03,-0.02,0.66,0.02,-0.02, 9.1, 6.8,-6.2
