New319planet_16,New319planet_50,New319planet_84,Old34planetdeg55_16,Old34planetdeg55_50,Old34planetdeg55_84,Radii
0.797607254,4.309131671,16.3011551,0.489646999,1.255218485,2.471982247,1
2.106463599,7.532870125,27.02232447,3.604538402,7.668087862,18.81723013,3
3.980995541,17.96487965,115.6661997,7.996449369,17.38285173,33.85267586,5
38.21684259,211.1683384,696.1097368,30.13988373,148.3911264,219.5430215,8
