FractionalChange,LogLikelihood,degree_candidates
0.010974274580596665,-9.76347630856963,13
0.012730385496832704,-9.640745896826026,17
0.010856345726881282,-9.537206683797992,23
0.009846285672596888,-9.44421623281591,31
0.008309573609300543,-9.366385562530969,42
0.005459819981358283,-9.315524475860832,56
0.005141362714046238,-9.267874969056482,75
