"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",-0.270378561793297,-0.270386885394591,-0.270389691489376,-0.270396749597147,0.0847390096876128,-0.270382771725489,0.294059546859747,0.255436078308116,0.153676070851417,0.0756971714786661,0.146470590200813,0.173398052764099,-0.270389435040043,-0.27038533461702,-0.270391360398841,-0.270395115311662,-0.270378915713107,0.564460323466496,0.276455998717735,-0.270397258919481,-0.270392830430728,-0.27039648988345,0.149844299983524,-0.27039580553652,-0.270392931541963,0.244320873934358,0.142401419467452,-0.270392232684297,-0.270395069022638,0.202305342886958,-0.270391253634234,-0.270392988863343,-0.270393115038679,0.14418081619757,0.138362810938531,0.287795677622832,-0.270391980978131,0.22507755141701,-0.270396175172432,0.135473767117716,0.18246684751666,-0.270389015540992,-0.270387705023098,-0.270397292787045,-0.270398836036352,0.139029143294754,-0.270394267055868,-0.270385592064987,-0.270397264785656,0.23588880969974,0.262119832305054,0.169486489594,-0.270392681637603,0.18295156106629,-0.270395097429916,-0.270384586080689,-0.270387358348738,0.135281694602934,-0.270390433240889,-0.270396395241069,0.642667897898931,-0.270395916515985,-0.270391268136547,-0.270396022131975,-0.270385540133929,0.289192295364077,-0.270397378204897,0.224879429847553,-0.270393373919309,0.146974596461992,-0.270391323300383,0.112311604104608,-0.270386610035379,-0.270394690675466,-0.270391960731934,0.112680434879203,-0.270391775234152,-0.270399856778332,-0.270387617047646,-0.270386145291831,-0.270394160284755,0.219818024386873,-0.270389411746112,-0.270397244235418,0.104880293622007,-0.270395383887373,-0.27037780238378,0.154738502741508,-0.270394329746459,-0.270394788405944,-0.270394075075523,-0.270384294051989,0.322019349906826,-0.270389309600792,-0.270398942919476,-0.27038355799561,0.174463564597725,-0.27038009615985,0.199973498686549,-0.270387765016276
"2",-0.270359487916094,-0.270374473779713,-0.270380608384682,-0.270392881962102,0.0850881282560956,-0.270367578245731,0.294020827373984,0.255727417623741,0.153610743801209,0.0752246006494156,0.145168022124846,0.170750128158902,-0.270380079565134,-0.270371750878972,-0.270382894120105,-0.27038967687967,-0.27036023020428,0.565395194040582,0.275705932597064,-0.270393916313241,-0.270385502162473,-0.270392459766619,0.148214380018202,-0.270391458194855,-0.270385864702053,0.244993652681597,0.140223182930305,-0.270385045381707,-0.270390274444494,0.196617978290888,-0.270382929829999,-0.270386626694561,-0.270386394313691,0.140823572936283,0.136374519770945,0.289575006250889,-0.2703843675011,0.220145681982654,-0.270391910188983,0.133048794376522,0.181712967728057,-0.27037940867692,-0.270377104579019,-0.270393942109368,-0.270396791404513,0.139496201121596,-0.270388820933718,-0.270372831050343,-0.270394032601136,0.230971815274583,0.257022132107604,0.168769072929634,-0.270385501809741,0.179306587079794,-0.270389881512452,-0.270371145645502,-0.270376406891321,0.132424620258561,-0.270381879957234,-0.270392258480535,0.643681612698172,-0.270391715492367,-0.270383453548731,-0.270391781766269,-0.270372729432332,0.291684128478073,-0.27039386877211,0.225979484149914,-0.270386899292968,0.145630616051061,-0.270383489254134,0.110361004352074,-0.270374530806413,-0.270389515877365,-0.270384639139646,0.1131413336673,-0.270384296395893,-0.270398545752417,-0.270376973812311,-0.270373969078135,-0.270388117768294,0.222667286334208,-0.27038011699678,-0.270393992676478,0.101911352292039,-0.270390633707542,-0.270358492481483,0.153155072509267,-0.270388422766002,-0.270389137231175,-0.270387656841054,-0.270370516801054,0.324823810796137,-0.270379902219552,-0.270396940089792,-0.27036918882488,0.17284835342903,-0.270362416327799,0.197121895416001,-0.27037657964162
"3",-0.270291381266024,-0.270327438423978,-0.270364221128346,-0.270385748832207,0.0855100140324319,-0.270339268583616,0.293999256242159,0.256213062398199,0.153532416347406,0.0746619333563812,0.143709981193842,0.167567087394997,-0.270363126228648,-0.270345579967163,-0.270349739682313,-0.270372147447745,-0.270313529115911,0.56638119898522,0.274893882898362,-0.270387872655901,-0.270354312732612,-0.270385072043662,0.146331861955255,-0.270383661474799,-0.270372604868343,0.245761570013375,0.137815305822879,-0.270372032869708,-0.27038178904947,0.16905957269359,-0.270367451577227,-0.270375337469967,-0.270374043402678,0.137053833919458,0.134169283113861,0.291671191776968,-0.270370360302167,0.208378455034992,-0.270384103860746,0.109531667637611,0.180919764537302,-0.270362073788554,-0.270357980099286,-0.270387846116496,-0.270393163155639,0.14009221599859,-0.270379126408633,-0.270349210881826,-0.270388280457816,0.211472577875424,0.247135997623135,0.167944988676827,-0.270372162467134,0.173374634737292,-0.270380214632547,-0.270346439636265,-0.270356565290358,0.105554253562769,-0.27036639741517,-0.270384653869641,0.64489844184857,-0.270384242908192,-0.270369408643521,-0.270384157762739,-0.270349063766292,0.294608482350458,-0.270386316300834,0.227272756763152,-0.270375043982462,0.1439660393577,-0.270369355478312,0.108170582984825,-0.270352065719722,-0.270380252414459,-0.270371451223486,0.113705287466646,-0.270370807837959,-0.270396213934194,-0.270357790917161,-0.270351641741285,-0.270376804513764,0.226003282679594,-0.270363347422699,-0.270388202672679,0.0935315623598074,-0.270382065058251,-0.270320469535754,0.144757476298601,-0.270377385376521,-0.270377895780214,-0.270373158627434,-0.270345063983674,0.328077223487889,-0.270362900503456,-0.270393363144848,-0.270342641094231,0.17102154084962,-0.270325360773454,0.193717099315929,-0.270355656907148
"4",-0.26936049043658,-0.269652782541698,-0.270334322368748,-0.270372421988007,0.0860221790718249,-0.270285559567374,0.293959724642719,0.256828493230944,0.153421139769874,0.0737664934556092,0.142089725270621,0.159897486196348,-0.270332034790733,-0.270289412900972,-0.269854145490417,-0.270158819728927,-0.269938985339921,0.567307025895933,0.274010089762828,-0.270376819634958,-0.269861141018961,-0.270371351932726,0.144183244127669,-0.27036951517147,-0.270346681747399,0.246572725235583,0.135154127615479,-0.270348190909049,-0.270366639901498,0.106016822113637,-0.270337999635804,-0.270355119977722,-0.270351047512835,0.13271658617115,0.131673104563357,0.294114644505387,-0.270344213238053,0.137366224478787,-0.27036964820082,0.0661920347804797,0.180099644378832,-0.270330446892971,-0.270323090818104,-0.270376609129637,-0.270386658472128,0.140845354044596,-0.270361703266696,-0.270304818376078,-0.270377944713223,0.12402089866287,0.188086641494617,0.166987680105263,-0.270347017239581,0.142109397591491,-0.270361810514007,-0.270300415427277,-0.270320187598635,0.064136433032735,-0.270338033910829,-0.270370489356574,0.646372790574761,-0.270370814985469,-0.270343887772516,-0.270370305150406,-0.27030474001257,0.298009857607562,-0.270336597206382,0.228779009421862,-0.270353043179595,0.141891542822566,-0.270343566268128,0.105694897548678,-0.270309595371848,-0.27036348538308,-0.270347431216364,0.114389385463455,-0.270346206752526,-0.270392025282519,-0.270322816722955,-0.270310172735661,-0.270355202560393,0.229909654607997,-0.270332746899837,-0.270377792850513,0.069025169455039,-0.270366430551619,-0.270176083429672,0.091075908977073,-0.2703562466348,-0.270336512571301,-0.270293811710799,-0.270297387138854,0.331799583883338,-0.270331822131134,-0.27038691076283,-0.270292911016634,0.168380090401395,-0.270112698701756,0.189203446062027,-0.270315288115522
"5",-0.260681412125385,-0.26327421000371,-0.27027909970158,-0.270346706841005,0.0866466300099073,-0.270177237628928,0.293483829180078,0.254478281381327,0.152992021434885,0.0690794615454287,0.139809692780565,0.122735320610625,-0.270274275560552,-0.270118670443923,-0.265108277533686,-0.268157979797437,-0.266708130069605,0.567987122461201,0.273040168306299,-0.270356345364178,-0.265117264578451,-0.270344711672955,0.141700102826865,-0.270343493357731,-0.270279870966946,0.246855623340528,0.131417267170826,-0.270303928177908,-0.270339346460479,0.0891090894894252,-0.270274735790944,-0.270318554436596,-0.270307040774421,0.125478623522139,0.127217307405535,0.296848052628521,-0.27029373233486,0.0746247735302378,-0.270342555328367,0.0573631068992367,0.178761805819296,-0.270272023606414,-0.270258679991347,-0.270355580577643,-0.270374865800046,0.141783329892224,-0.270330068186584,-0.270218961247447,-0.270359180851135,0.0913879351785152,0.114511170532731,0.165788709803097,-0.270298905328783,0.0854010143533365,-0.270318677826427,-0.270212279451614,-0.270252584264159,0.0568826052613368,-0.270285387709837,-0.270343149538133,0.648485789548124,-0.270346419232939,-0.270296966174886,-0.270344854089631,-0.270218844874213,0.30168015806521,-0.269798518303213,0.230405905956596,-0.27031062588907,0.13926730628635,-0.270295921224161,0.102027189783,-0.270224723573824,-0.27033275376697,-0.27030315772213,0.115175978007107,-0.270300804819108,-0.270384415326226,-0.270258185192687,-0.270230295634282,-0.270311649119757,0.234478244061376,-0.270276216209913,-0.270358884603123,0.0583242660101991,-0.270337546839402,-0.268995668319736,0.0620397908027044,-0.27030910320415,-0.270008413000038,-0.269688872051437,-0.270206595863623,0.335865085319559,-0.27027427985766,-0.270375140085187,-0.270197887760726,0.156147279585764,-0.267936853991636,0.176225582167683,-0.270219168439558
"6",-0.217129017307208,-0.229768130227257,-0.270175431260341,-0.270287225689253,0.0874170035889688,-0.2698884080801,0.288051836162321,0.228267878924445,0.149062629592482,0.0502365564443319,0.132276911563756,0.0779091378885008,-0.270165462852972,-0.269391685985598,-0.239128516398884,-0.256721725415959,-0.248944663632651,0.568119776723578,0.271923645328408,-0.270317586356385,-0.239335189608207,-0.270276975820029,0.138296677729014,-0.2702941407331,-0.269939232729031,0.2405830618369,0.119052438640792,-0.270220159067552,-0.270289682744307,0.0860520990980451,-0.27005322154079,-0.270251689461382,-0.27021001923696,0.103774233754649,0.108879633295029,0.298723806487588,-0.270177288013842,0.0600668593484669,-0.270290972354067,0.0558427903808377,0.17101967321353,-0.270161673362769,-0.270138223724271,-0.270315302696377,-0.270353214645654,0.142911901961846,-0.270271896336544,-0.270029589352302,-0.270324706738713,0.0863435080468969,0.0927586630621535,0.163102834185657,-0.270205195562299,0.0628294638575298,-0.270115287729567,-0.270017994828674,-0.27012393240527,0.0556821660103017,-0.270185789213179,-0.270278531978645,0.655148285476567,-0.270301546827113,-0.270209587818438,-0.270297523795781,-0.270018106322939,0.301807777084873,-0.265845262695174,0.230521472618104,-0.270208591388304,0.135911781482447,-0.270206263225236,0.0904648385399218,-0.269992904816742,-0.270275172609804,-0.270220415106352,0.115532596896581,-0.270215903534478,-0.27037029932143,-0.270135247812341,-0.270040275502925,-0.270200082808469,0.239843774267396,-0.270170224775271,-0.270324142133102,0.0560101011968793,-0.270283417245896,-0.26087711864851,0.0568620672579463,-0.270122602239945,-0.267715679088649,-0.266282139442927,-0.270026390650069,0.338442090816066,-0.270165392590709,-0.270353195194596,-0.270002299548121,0.110039062892786,-0.25272427751466,0.125174954844771,-0.269766917758964
"7",-0.115120421712138,-0.140348912057542,-0.269972512772519,-0.270059091174698,0.0884669424220362,-0.268616672405293,0.25360959415324,0.170167313428895,0.12593317472186,0.0308082641394135,0.107805353849269,0.0637296894814153,-0.26995698905231,-0.266251980666003,-0.1600981474312,-0.215214261783321,-0.190345673928212,0.566718043119608,0.270026607776491,-0.270237752317861,-0.163000552495523,-0.269958564126292,0.131360053193096,-0.270186415919409,-0.267633432142266,0.199267837908788,0.0800383942933993,-0.270050605226508,-0.27019797527861,0.0852914239827438,-0.268757456153259,-0.270127376175695,-0.269875918265639,0.0650755831427293,0.0669612473805449,0.290710423473308,-0.26973282701584,0.0567506234228369,-0.270187776640745,0.0554608621542301,0.133788260731293,-0.26993547159521,-0.269909185243359,-0.270233163109721,-0.270312788284298,0.144029681807256,-0.270161595019727,-0.269398039238938,-0.27025986668818,0.085304554359537,0.0875580619291809,0.150159562313959,-0.270014078438745,0.0566545937894381,-0.268656859564719,-0.269352212584625,-0.269857811213863,0.0553861600424435,-0.269984311365487,-0.270017492412505,0.684477366434193,-0.270217528350459,-0.270044169916919,-0.270207968990395,-0.269235337980403,0.271979746657839,-0.246429586630543,0.216989070690075,-0.269773920717283,0.131832421604408,-0.270026524223787,0.0619781140247403,-0.268809233195925,-0.270157484156437,-0.270061739088861,0.111530962489784,-0.27005375796797,-0.270341810018727,-0.269868589082691,-0.269257252609035,-0.269737207332947,0.246594027959072,-0.269965332398272,-0.270259042481626,0.0553194080308283,-0.270179417792454,-0.224145145328684,0.0557606514477826,-0.268927031410954,-0.256158281872626,-0.252466537508582,-0.269603398669252,0.325724826131297,-0.269944162929321,-0.270308138510489,-0.269463727916246,0.0655621756564211,-0.191428534354462,0.0581064113353626,-0.266584902961961
"8",-0.0186692263034586,-0.0382578041052305,-0.269511252057896,-0.268773058445438,0.0907252317131984,-0.26174820439223,0.157895823081984,0.143962826889182,0.0720464834379211,0.0232403706458675,0.0796750827892389,0.0606901784877436,-0.269544412796465,-0.254682638939735,-0.0475575832082496,-0.129564902177764,-0.0917883644673424,0.55767329566116,0.263330218244855,-0.270014679836284,-0.0594654818375051,-0.267942612241692,0.116337408062232,-0.269824489715214,-0.254452380558277,0.110300155037224,0.0379590152854424,-0.269598169400411,-0.270019831631035,0.0850405925394898,-0.261101281062113,-0.269882945137008,-0.268100308049634,0.040092814974012,0.0389933371728267,0.239707815700622,-0.267215467131399,0.0556820107104122,-0.26993180069225,0.0553328123465309,0.0747124635771077,-0.269331031862288,-0.269455835758657,-0.270032926484522,-0.270234057230532,0.143851437981517,-0.269923571821934,-0.266174588093399,-0.270125395518633,0.0850094208485753,0.0860335903539438,0.107180155225694,-0.269546172120188,0.0540890898480091,-0.259460102754329,-0.265863525855274,-0.269139422997882,0.0552888069204402,-0.269447554627326,-0.268498480439523,0.744982289266701,-0.270051248291526,-0.269718071792081,-0.270029526045656,-0.264812799694637,0.170964757555836,-0.186016669809527,0.155240033076733,-0.267124252470274,0.128382572569577,-0.26956023141897,0.038252484085158,-0.261193547409825,-0.26982864867789,-0.269728675391217,0.0951525661944237,-0.269723715675509,-0.270263787536713,-0.26899211121409,-0.264675955330058,-0.267241175710529,0.258232232180317,-0.269521668723375,-0.270127537545724,0.0549028850404767,-0.269960932235842,-0.132768169494465,0.0554517512205695,-0.261616352902125,-0.215724860318913,-0.212597096265334,-0.268127967184567,0.253498900736961,-0.269385568845879,-0.270177588106353,-0.267086107842782,0.0497797637994264,-0.0801308557243418,0.0297921768972742,-0.247513461705025
"9",0.0277186238032203,0.0183060390156415,-0.268024827290879,-0.261681923453453,0.0989815517915636,-0.230278080937211,0.0633154728367956,0.146401760210579,0.0299038502787336,0.020640964911533,0.0679113602155929,0.0602146230967099,-0.268637440236129,-0.22110520966509,0.0288402906502176,-0.0400131846657687,-0.0119274247639798,0.513497427297493,0.244069418814124,-0.26900813768334,0.00759352428247796,-0.256561178286534,0.0973321650305378,-0.267906198728098,-0.202684337362036,0.051606837105138,0.0201685046131594,-0.267570331842919,-0.269588034292401,0.0849438878824502,-0.227158740597961,-0.269275124619403,-0.258361566682023,0.0311984802781342,0.0300047607719507,0.13387100841786,-0.253448315623003,0.0551253463866593,-0.268902223805581,0.0552845130143184,0.0441201478544153,-0.266918076706084,-0.268415839514742,-0.269369740796308,-0.270053127232621,0.138737345934646,-0.269172429562387,-0.249329932126607,-0.269731933223051,0.084905281664277,0.0855211879301422,0.0598878277621944,-0.267801562453973,0.0521364646678138,-0.21792969002706,-0.24758866119151,-0.266225403499471,0.0552540134189525,-0.267050008895371,-0.260091624202255,0.785676062982187,-0.269635787908781,-0.26896726733731,-0.269596878434373,-0.241863934879381,0.0792959180738266,-0.086928978663723,0.0623360653888407,-0.252135555333884,0.131215150556389,-0.267554320655878,0.0293656740009236,-0.221436166085904,-0.268340029597344,-0.268804870683218,0.0788160442153769,-0.268901967813767,-0.269918460686921,-0.264406188219555,-0.240661203198008,-0.254743407521545,0.287944028037217,-0.268186758243275,-0.269772536553411,0.0544177325492301,-0.269339925605341,-0.0298672886684804,0.0553675158437787,-0.227950048634872,-0.131325537718699,-0.138319605035099,-0.261016310690769,0.129536594025933,-0.267381204014005,-0.269559186717849,-0.2545217307185,0.0453437738806619,0.0022870775697341,0.0228174483209655,-0.176214416482954
"10",0.0450140568405478,0.0403980872676043,-0.261314818954876,-0.23119912372258,0.124432035906961,-0.140982042160287,0.0224183025979167,0.157080711483311,0.0140125568778094,0.0195437966922622,0.0654909849640366,0.0604250085565243,-0.265975261859499,-0.152446039652398,0.0626063252859031,0.0133338841219685,0.0273130338718433,0.399711552511514,0.224508381769498,-0.263371719326217,0.036455079264558,-0.21030646174392,0.0874372400487146,-0.256987373785785,-0.099707967973733,0.0363816962264982,0.0148371595149909,-0.255708188385244,-0.267853292884003,0.0849169058314758,-0.143560354914481,-0.266770176022392,-0.217127268193205,0.0286075242301922,0.0275303907332057,0.0561582515352488,-0.199642161512,0.0546461131767048,-0.263062222469366,0.0552784538412033,0.0352287118520882,-0.255440808235163,-0.264966982844227,-0.266576553783469,-0.26941380781177,0.129587564046611,-0.265490982058271,-0.187393283398041,-0.267824249524797,0.0848687789363836,0.0854270866900879,0.0442601857479529,-0.258657215810339,0.0500489104932965,-0.115958088825673,-0.18197652237078,-0.251887701973303,0.0552548324644314,-0.2529124296441,-0.224890588642058,0.794548028415239,-0.26788780158117,-0.266393557448217,-0.26798684879409,-0.167210754780317,0.0452717184587603,-0.00674563957588991,0.0113660996302225,-0.190927828213027,0.148300880965078,-0.256064189332989,0.0268663553375121,-0.104035291034601,-0.260081930629668,-0.264947590727501,0.0750992703466115,-0.265962859458517,-0.267996434105017,-0.238116366712293,-0.162099629824443,-0.20755779779134,0.347645094540281,-0.262123040631084,-0.268173556324216,0.0537036805973799,-0.266520167748265,0.030511167311049,0.0554048061582843,-0.136892168171037,-0.0417751397937146,-0.0567088330967444,-0.228618169134727,0.0561958893190291,-0.258497910423581,-0.266023071256084,-0.202139951452815,0.0441380736483718,0.0365468899670371,0.022589083983775,-0.0631584450907519
"11",0.0515607450645885,0.048106223696068,-0.230505444369715,-0.153266749975893,0.161390674023009,-0.0290721232339777,0.0131137548417628,0.169643910519125,0.0100383424612437,0.0190770218271687,0.0664216322829873,0.0609003492991684,-0.254504817996395,-0.0644667213631221,0.075763541227234,0.0373438913041308,0.0429810511676026,0.289465033789711,0.217874372228943,-0.235130299917126,0.0475920004920386,-0.111672319020762,0.0883963518408664,-0.208793041404151,-0.0156787715975063,0.039007788641509,0.0136996205222826,-0.196641996894969,-0.257799695277889,0.0849593857942832,-0.0576208809569062,-0.252351942347423,-0.12088140210656,0.0283438498945052,0.027011029383527,0.0309139159118083,-0.0963541451359356,0.0541088257598066,-0.231449874454693,0.0553267394627115,0.0337687427972233,-0.211130308210585,-0.248429312348854,-0.254110724586224,-0.265959765058631,0.127511231719258,-0.245722224387283,-0.0826792758010562,-0.256556271018821,0.0848741564872099,0.0856960112170598,0.0462057429144093,-0.211455580647013,0.0476376145421889,-0.0135369906869069,-0.0764355632734782,-0.191626470881478,0.0553067791335732,-0.176624859820753,-0.141713943239189,0.787825375116108,-0.257321594743842,-0.253331435777746,-0.259564730023517,-0.0658150189599295,0.0369604440820207,0.0343350164239667,-0.00278633615598759,-0.0621876660630607,0.172961349303746,-0.200026174331211,0.0265938108258066,0.0289119772569267,-0.22099019983454,-0.246090915678946,0.0777043385121019,-0.252636543948667,-0.257817080254341,-0.118368184497341,-0.0546847385623818,-0.106427070937171,0.397347985014915,-0.231479701445397,-0.258770314193263,0.0526499178397303,-0.250659225434893,0.0605118573488936,0.0555954168199077,-0.029853887234985,0.0101175321947558,-0.000513360951120847,-0.139402253293761,0.0377861239107379,-0.222548047124352,-0.247853447915753,-0.0930850151172415,0.0441055463339332,0.0484751845325815,0.0249253999440363,0.00510227591301641
"12",0.0546628616814547,0.0503711568074158,-0.137696000195181,-0.065637872852595,0.184827657254936,0.0340278354193468,0.0171867298687899,0.182427727108182,0.0105652024569548,0.0191043386527557,0.0688865126678879,0.0615738223457304,-0.198893056240059,0.00817554934518988,0.0809978077974916,0.0477121466471193,0.0487263340859939,0.241937041099138,0.21803332424529,-0.144020024267285,0.0520406361177839,-0.0260980348125145,0.0953287702432786,-0.0985931711846659,0.0200335982787117,0.0481412685543245,0.0143260203671261,-0.041992470896583,-0.202967919992097,0.085141828809954,-0.0147303193405282,-0.178707817238116,-0.028740845249264,0.029371939794569,0.0272926096493224,0.0311284016416106,-0.0186677064686987,0.0534964181814982,-0.120534324109458,0.0554947423027063,0.0349223375481864,-0.122978656705754,-0.169346237458056,-0.202954342452635,-0.245814174531606,0.132563696139302,-0.169895614979623,-0.0146556677216713,-0.199934156174712,0.0849364603524829,0.0865586433003713,0.0540126210187743,-0.0479268883594646,0.0449354402509864,0.0345699395188436,-0.011107164608057,-0.047910348677795,0.0554757149068011,0.090294208472239,-0.05837571749459,0.772762760966708,-0.198450647073901,-0.187320402135362,-0.216391356867955,-0.00851918962743298,0.0371057476333991,0.0544329104944248,-0.00170391580906164,0.0474879209081217,0.191145799713665,-0.0607055397893977,0.0274587044678423,0.0906799498948799,-0.115884380000022,-0.177801218625833,0.0824544817511382,-0.200950388651329,-0.215353626124254,0.168566077864287,0.00536036218735175,-0.0101964995649777,0.409919460369091,-0.121197134530087,-0.209185420726318,0.0512107374171472,-0.173398611617174,0.0810003821878976,0.05607182546087,0.0274364856681234,0.0312164431762802,0.0287342110421855,-0.0412060228921753,0.0430049604116771,-0.131968773916854,-0.1835179770405,-0.00752398465674615,0.0448399984239115,0.0527346740491515,0.028730096728574,0.0288027193436416
"13",0.0571541189526997,0.0504094197319854,-0.019342112128671,-0.0188595040824877,0.19463561574242,0.0598481975548983,0.0282874843586653,0.194886777007595,0.0134430734215879,0.0197389385243694,0.0724618162217636,0.0625126034850351,-0.014209558662983,0.0575088737997172,0.0833373501167523,0.0532647148629782,0.0505119139270039,0.228416612657141,0.220584382966274,-0.0187545608501461,0.0541080825962617,0.0111987106112622,0.104977378721901,-0.00311930990386087,0.0327224541742171,0.0601928923643195,0.0161317447515912,0.0968121785288703,-0.0278999761885118,0.0856650983973826,0.00330347296740332,0.0154694700966722,0.0151103070499621,0.0316253657831108,0.0281534658431992,0.0415187821397331,0.0121417781538731,0.0529053943953896,0.0348719475366959,0.0559503281370256,0.0373732710088666,-0.0511446411865189,0.0496774563084505,-0.0444093421776108,-0.154844829578117,0.139757978121547,-0.044342915852895,0.0099517717614758,-0.0412433757963746,0.0851146165834717,0.0885867536239864,0.0640287946001328,0.186745452548802,0.0421360265130584,0.0512689084383583,0.0118805674041876,0.0963231159681108,0.055927158884146,0.463399937273305,-0.0179003464840293,0.751227676979798,-0.0159227382933654,0.0042074481858622,-0.0747289643318152,0.0154478866730566,0.0406616552114794,0.0683264726673554,0.00603979308399356,0.0970462795346223,0.201432563453112,0.0594596821100896,0.0293394508510244,0.110435244218346,-0.00640215201702493,-0.0698338449037977,0.0881224906620524,-0.0989506449522766,-0.113305532137093,0.404684563479131,0.0288169377803931,0.0370209850103239,0.404613289958373,0.0462384300943659,-0.053745989216556,0.0495046574681827,0.0381011139219492,0.102069444734304,0.0571111719242822,0.0489444144183681,0.038328419011244,0.0424083390876209,0.00743050510986841,0.0578390971123305,-0.0304710664535374,-0.0768386791946875,0.02822551366604,0.0464615233669811,0.0545200995786651,0.0337262496269536,0.0364864214914735
"14",0.0606145391606097,0.0494895007479637,0.0511443452648343,0.000693628107501142,0.198945111786891,0.073335471331675,0.0444331809920185,0.206761156225106,0.0183316768679127,0.0212390108902264,0.0771252425483533,0.0638857681257811,0.217572477090287,0.0941235001870375,0.0848112313710168,0.0586125967227579,0.0509141716582626,0.226671239328846,0.224229289055206,0.0536658404190382,0.0555678168925793,0.0248249540704673,0.115845603455385,0.0393780922399734,0.0386872252463426,0.0738674180940492,0.0190774105111425,0.150014026210662,0.165981793826581,0.0870090035594679,0.014233021589376,0.180222654653774,0.0341858087622404,0.0354195358521814,0.029671174736699,0.0566961081638343,0.0233749621146003,0.0526023393873199,0.115132017432177,0.0570724186229123,0.04079775709248,-0.0135747558114225,0.258052751174547,0.207882295714968,0.0434838775108276,0.147165887220126,0.0355592795778916,0.0187717669649123,0.118827680031009,0.0855452929973961,0.0928785165044769,0.0751887428530003,0.308335526138935,0.0395966946542193,0.0577041719727365,0.0198696488887571,0.17564216399818,0.0570333920331601,0.639318095941446,-0.00211210608444933,0.72373409758218,0.170686548705197,0.193056483510441,0.105362309374026,0.0294083917518735,0.0462566100614671,0.0834210928300584,0.017854607901042,0.118046874632432,0.207432479987556,0.10909124069768,0.0324533829676245,0.117458092703242,0.0476171923489968,-0.00259711887540739,0.0943798956546637,-0.0186136462036937,-0.00831113364726614,0.470365435531928,0.0409372250984046,0.0561243022670844,0.394954594327843,0.141995221069178,0.124338331918349,0.0480072259033627,0.246307348017525,0.127892863826654,0.0592292021810176,0.0580939254409768,0.0404948824491064,0.0491039950745618,0.0285055775190312,0.0773917875544779,0.0306803294578459,-0.00221136245042541,0.0444952997049929,0.049370633290345,0.0556792694194637,0.0398848445166842,0.0399623129843572
"15",0.0666143509606645,0.048436498206973,0.0898806341272326,0.0118541792609172,0.20156661342933,0.0849179603632966,0.0647762281727014,0.21788163668623,0.0255392974378215,0.0239957486780898,0.0829799128375479,0.0659853543501734,0.316535849863589,0.124847013022189,0.0865714616798659,0.0672016646201609,0.0516359672955618,0.229108202846215,0.228630416077161,0.0851092204232211,0.0574974579655392,0.031700954030868,0.127265556415986,0.0595942143727414,0.0438647671499498,0.0885499657415328,0.0233212738560705,0.167625373037156,0.245141313052863,0.090217133980846,0.0249301133430884,0.236317081432963,0.0469439926998699,0.041272619584294,0.0320691228348801,0.0746941428182588,0.0295457331708548,0.0531079949697692,0.14160091068073,0.0596487783835895,0.0451788850988463,0.0118263505225954,0.332950619774753,0.355067847874042,0.19095325311986,0.154385408210041,0.0718019945483375,0.0240904555015142,0.186542999156903,0.0865140006258341,0.10127488791909,0.0871224599796447,0.342175212915711,0.0378550557070298,0.0616666722274193,0.0244418650416285,0.218941553075965,0.0595728531872809,0.671723701429758,0.00630135097393975,0.690848278292692,0.242740116460341,0.26605240821563,0.19178612449296,0.042226985143088,0.053552528192515,0.103891510427282,0.0329649486596856,0.130501857412182,0.211613126955314,0.12960329796098,0.0371833364699747,0.121502440899206,0.0734157680551131,0.0285400133075806,0.101147287706394,0.0231776133053914,0.048520383893799,0.465376624696508,0.0514521261743103,0.0665419745942169,0.385196127557155,0.179641427473476,0.2011410340147,0.0478245125577314,0.328892279577765,0.159851638598392,0.0633216824635383,0.0646725199151972,0.041885187176582,0.0539163021662213,0.0422531717739981,0.0995722157843074,0.0677779270054267,0.0342915890243154,0.0567832204767159,0.0542094727936271,0.0570997504630703,0.0472680261257566,0.0429679542863533
