"","x"
"1",-1
"2",-0.951418209265748
"3",-0.902836418531496
"4",-0.854254627797245
"5",-0.805672837062993
"6",-0.757091046328741
"7",-0.708509255594489
"8",-0.659927464860237
"9",-0.611345674125986
"10",-0.562763883391734
"11",-0.514182092657482
"12",-0.46560030192323
"13",-0.417018511188978
"14",-0.368436720454727
"15",-0.319854929720475
"16",-0.271273138986223
"17",-0.222691348251971
"18",-0.174109557517719
"19",-0.125527766783468
"20",-0.0769459760492157
"21",-0.0283641853149639
"22",0.020217605419288
"23",0.0687993961535398
"24",0.117381186887791
"25",0.165962977622043
"26",0.214544768356295
"27",0.263126559090547
"28",0.311708349824799
"29",0.360290140559051
"30",0.408871931293302
"31",0.457453722027554
"32",0.506035512761806
"33",0.554617303496058
"34",0.60319909423031
"35",0.651780884964561
"36",0.700362675698813
"37",0.748944466433065
"38",0.797526257167317
"39",0.846108047901569
"40",0.89468983863582
"41",0.943271629370072
"42",0.991853420104324
"43",1.04043521083858
"44",1.08901700157283
"45",1.13759879230708
"46",1.18618058304133
"47",1.23476237377558
"48",1.28334416450983
"49",1.33192595524409
"50",1.38050774597834
"51",1.42908953671259
"52",1.47767132744684
"53",1.52625311818109
"54",1.57483490891535
"55",1.6234166996496
"56",1.67199849038385
"57",1.7205802811181
"58",1.76916207185235
"59",1.8177438625866
"60",1.86632565332086
"61",1.91490744405511
"62",1.96348923478936
"63",2.01207102552361
"64",2.06065281625786
"65",2.10923460699212
"66",2.15781639772637
"67",2.20639818846062
"68",2.25497997919487
"69",2.30356176992912
"70",2.35214356066337
"71",2.40072535139763
"72",2.44930714213188
"73",2.49788893286613
"74",2.54647072360038
"75",2.59505251433463
"76",2.64363430506889
"77",2.69221609580314
"78",2.74079788653739
"79",2.78937967727164
"80",2.83796146800589
"81",2.88654325874014
"82",2.9351250494744
"83",2.98370684020865
"84",3.0322886309429
"85",3.08087042167715
"86",3.1294522124114
"87",3.17803400314566
"88",3.22661579387991
"89",3.27519758461416
"90",3.32377937534841
"91",3.37236116608266
"92",3.42094295681691
"93",3.46952474755117
"94",3.51810653828542
"95",3.56668832901967
"96",3.61527011975392
"97",3.66385191048817
"98",3.71243370122242
"99",3.76101549195668
"100",3.80959728269093
