"","x"
"641",1.50168450961735e-08
"642",1.94714354218938e-08
"643",2.27570405039689e-08
"644",2.27077693718153e-08
"645",1.90861764253174e-08
"646",1.39912377226808e-08
"647",9.38223660568371e-09
"648",5.9485554379512e-09
"649",3.62659974518881e-09
"650",2.14611593653971e-09
"651",1.24465450664298e-09
"652",7.16485146925431e-10
"653",4.143851412345e-10
"654",2.41950913226197e-10
"655",1.42353529629965e-10
"656",8.48692002126111e-11
"657",5.28284551444175e-11
"658",3.60751488713465e-11
"659",2.78100855439811e-11
"660",2.36142951840751e-11
"661",6.48770222229404e-11
"662",3.93373554998803e-10
"663",1.42010905106109e-09
"664",3.88303532581031e-09
"665",9.18058826747785e-09
"666",2.05138601813634e-08
"667",4.65301563615627e-08
"668",1.14851333540708e-07
"669",3.37229370334876e-07
"670",1.42382285198562e-06
"671",7.95669639627993e-06
"672",1.63016629318145e-06
"673",4.17121733987381e-07
"674",1.68253482823535e-07
"675",8.58599788042516e-08
"676",5.10299307510217e-08
"677",3.39936097125203e-08
"678",2.48429627171293e-08
"679",1.96052013544534e-08
"680",1.64428605982989e-08
"681",1.44029098296797e-08
"682",1.29507605842006e-08
"683",1.17792124536149e-08
"684",1.07206400382678e-08
"685",9.69995390712382e-09
"686",8.70523233646788e-09
"687",7.76710800583341e-09
"688",6.94367405623230e-09
"689",6.31087242174535e-09
"690",5.95971683539057e-09
"691",6.00154690867357e-09
"692",6.58181728505924e-09
"693",7.90185276603645e-09
"694",1.02421169030358e-08
"695",1.39527151205885e-08
"696",1.92809930441129e-08
"697",2.57166289681476e-08
"698",3.08135267980556e-08
"699",3.08296262221009e-08
"700",2.5331281470617e-08
"701",1.80065923572369e-08
"702",1.1804008052292e-08
"703",7.42009664779582e-09
"704",4.55097280633904e-09
"705",2.74462192074172e-09
"706",1.63682810864841e-09
"707",9.7013627963561e-10
"708",5.72172172837754e-10
"709",3.34096173127257e-10
"710",1.91730892680305e-10
"711",1.08559028789022e-10
"712",6.26928718189292e-11
"713",3.94946299078514e-11
"714",2.87581127713305e-11
"715",2.38481574190465e-11
"716",6.86472611833181e-11
"717",4.15855019548974e-10
"718",1.50393768195952e-09
"719",4.13846326685839e-09
"720",9.92683224915442e-09
"721",2.28516450452675e-08
"722",5.51478685124737e-08
"723",1.5642404658592e-07
"724",6.67023752723105e-07
"725",0.0155606842135757
"726",0.0152751495499752
"727",1.4480285349529e-06
"728",4.57963687725931e-07
"729",2.06008333706279e-07
"730",1.10535540445437e-07
"731",6.75339212568543e-08
"732",4.58498905167192e-08
"733",3.39771067442328e-08
"734",2.70507969574524e-08
"735",2.27692512314092e-08
"736",1.99336505844964e-08
"737",1.78742862627834e-08
"738",1.62061250820082e-08
"739",1.47151311376933e-08
"740",1.32998858280001e-08
"741",1.19376159174251e-08
"742",1.06605245387797e-08
"743",9.53700824940993e-09
"744",8.65828610450295e-09
"745",8.13367038149264e-09
"746",8.09741409419377e-09
"747",8.72935735485375e-09
"748",1.02919204608025e-08
"749",1.31833160332218e-08
"750",1.79788247987536e-08
"751",2.52930433830418e-08
"752",3.48616123699716e-08
"753",4.31342295839053e-08
"754",4.33200927579373e-08
"755",3.4552388164128e-08
"756",2.36628581501057e-08
"757",1.51372472965582e-08
"758",9.45090187719304e-09
"759",5.84968055977052e-09
"760",3.60372557285373e-09
"761",2.20928968175731e-09
"762",1.34345944627314e-09
"763",8.04248160341173e-10
"764",4.68567027295238e-10
"765",2.62898079369377e-10
"766",1.42211304775558e-10
"767",7.65013372586255e-11
"768",4.42124829201918e-11
"769",3.00419916150045e-11
"770",2.41526448884317e-11
"771",7.25172903544337e-11
"772",4.37330988865947e-10
"773",1.58055140115148e-09
"774",4.36436407042827e-09
"775",1.0574349814271e-08
"776",2.48848223038045e-08
"777",6.29597323922994e-08
"778",1.99248963642567e-07
"779",1.16405838545432e-06
"780",3.47739684158039e-05
"781",2.1265999689129e-06
"782",8.25418107778078e-07
"783",4.62081387227158e-07
"784",2.68760160027392e-07
"785",1.59631845554767e-07
"786",1.00913817711184e-07
"787",6.91071175839679e-08
"788",5.11341355950237e-08
"789",4.04355869000844e-08
"790",3.37049523805511e-08
"791",2.9193762632804e-08
"792",2.5925108876033e-08
"793",2.33308072972215e-08
"794",2.1080804435945e-08
"795",1.90016140214501e-08
"796",1.70337768808041e-08
"797",1.52018505903984e-08
"798",1.35866334269595e-08
"799",1.23018751158022e-08
"800",1.14831478078861e-08
"801",1.12952146889227e-08
"802",1.19623063581066e-08
"803",1.38281011180539e-08
"804",1.74573856944592e-08
"805",2.37754710812803e-08
"806",3.40734909905065e-08
"807",4.8875533795267e-08
"808",6.31818185996312e-08
"809",6.38367039463317e-08
"810",4.88834602838906e-08
"811",3.19344861300916e-08
"812",1.98583392008867e-08
"813",1.23046136233622e-08
"814",7.67776116450905e-09
"815",4.81384302782429e-09
"816",3.01137916642685e-09
"817",1.86023415727982e-09
"818",1.11992279980219e-09
"819",6.47712572131662e-10
"820",3.55650124866883e-10
"821",1.85156042048717e-10
"822",9.3807178525098e-11
"823",5.00496644941317e-11
"824",3.16225711350817e-11
"825",2.4529452464847e-11
"826",7.6163005967499e-11
"827",4.56110544468972e-10
"828",1.64303903978298e-09
"829",4.53591557636608e-09
"830",1.1029736837889e-08
"831",2.6185014877427e-08
"832",6.71847921581529e-08
"833",2.11540356069236e-07
"834",8.2612319693055e-07
"835",1.04551435455617e-06
"836",5.72832444608928e-07
"837",4.27253965025773e-07
"838",3.92190704142596e-07
"839",3.5198835138892e-07
"840",2.67033841480467e-07
"841",1.81143021661214e-07
"842",1.22977934671513e-07
"843",8.81349474282527e-08
"844",6.73021467389841e-08
"845",5.43660102232044e-08
"846",4.59043829281006e-08
"847",4.00012612377446e-08
"848",3.55389567066407e-08
"849",3.18489224860517e-08
"850",2.85529416598681e-08
"851",2.5487768164125e-08
"852",2.26511302488831e-08
"853",2.01450326875352e-08
"854",1.81234785036299e-08
"855",1.67632903924424e-08
"856",1.62702756293819e-08
"857",1.69256507443338e-08
"858",1.918358647379e-08
"859",2.38534821768889e-08
"860",3.24251381957147e-08
"861",4.74672382298454e-08
"862",7.16896736740954e-08
"863",9.8848365706909e-08
"864",1.00926912597975e-07
"865",7.27258144855743e-08
"866",4.45588637157033e-08
"867",2.67193337046108e-08
"868",1.63492872096798e-08
"869",1.02217776194522e-08
"870",6.4634381699674e-09
"871",4.07713033333777e-09
"872",2.52682276353524e-09
"873",1.51440639390314e-09
"874",8.64546037702364e-10
"875",4.64516254674098e-10
"876",2.34175431535872e-10
"877",1.13127880109455e-10
"878",5.64936477655924e-11
"879",3.33867317250666e-11
"880",2.49740188322511e-11
"881",7.922562883153e-11
"882",4.70403148812779e-10
"883",1.68466881823237e-09
"884",4.63041518399003e-09
"885",1.12108650160764e-08
"886",2.63847849811527e-08
"887",6.55662162357195e-08
"888",1.77139977880417e-07
"889",3.69638783276257e-07
"890",3.35378070426498e-07
"891",2.48160582311113e-07
"892",2.3001854537886e-07
"893",2.71957639505331e-07
"894",3.76907385129892e-07
"895",4.91690378036205e-07
"896",4.44473478759879e-07
"897",2.96589126950249e-07
"898",1.90977829171306e-07
"899",1.32093541085283e-07
"900",9.91352240236352e-08
"901",7.95991186991795e-08
"902",6.71602393193034e-08
"903",5.85022359478421e-08
"904",5.17811883767959e-08
"905",4.5984135142107e-08
"906",4.06582329204844e-08
"907",3.5741932429778e-08
"908",3.13991368153268e-08
"909",2.78730092344899e-08
"910",2.54080640290142e-08
"911",2.42573659452251e-08
"912",2.4765368564294e-08
"913",2.75341538222359e-08
"914",3.37460999049458e-08
"915",4.58464082010607e-08
"916",6.89317877993225e-08
"917",1.11770964086742e-07
"918",1.71132665675072e-07
"919",1.78280402506671e-07
"920",1.15926612637489e-07
"921",6.46285259949565e-08
"922",3.68412880927774e-08
"923",2.20445265453358e-08
"924",1.36640349843303e-08
"925",8.60501338908523e-09
"926",5.40119960062936e-09
"927",3.31864667373103e-09
"928",1.96290819504036e-09
"929",1.10097640700849e-09
"930",5.78640875824575e-10
"931",2.83775450643284e-10
"932",1.32164078248281e-10
"933",6.2801271438782e-11
"934",3.51793411653315e-11
"935",2.5481282980953e-11
"936",8.13243956962286e-11
"937",4.78419945638954e-10
"938",1.69946434662593e-09
"939",4.63048551462066e-09
"940",1.10673219852799e-08
"941",2.53472302588395e-08
"942",5.84410945705161e-08
"943",1.26363797097956e-07
"944",1.81329039295078e-07
"945",1.57819092770528e-07
"946",1.3086948186056e-07
"947",1.31175870411505e-07
"948",1.66562749209378e-07
"949",2.71967669211869e-07
"950",5.9496058945323e-07
"951",1.65866876582899e-06
"952",1.75181777480696e-06
"953",7.02711741129588e-07
"954",3.49261840985886e-07
"955",2.18906582933209e-07
"956",1.59448258582744e-07
"957",1.27760067287522e-07
"958",1.08319499573834e-07
"959",9.43061823547621e-08
"960",8.24699818576923e-08
"961",7.15299311368679e-08
"962",6.14028541246245e-08
"963",5.25409516185283e-08
"964",4.54309759416024e-08
"965",4.04021876096467e-08
"966",3.76930080704454e-08
"967",3.7651865137881e-08
"968",4.10451509708457e-08
"969",4.96316345854363e-08
"970",6.75468790574073e-08
"971",1.05147656589743e-07
"972",1.88921063661981e-07
"973",3.50922338777281e-07
"974",3.82116701369655e-07
"975",2.02187739075217e-07
"976",9.72453690242395e-08
"977",5.16186754096819e-08
"978",2.97990821771337e-08
"979",1.80739858319548e-08
"980",1.11880973174436e-08
"981",6.90557452627047e-09
"982",4.16817035094384e-09
"983",2.41888251043972e-09
"984",1.32944348452236e-09
"985",6.83691879638703e-10
"986",3.2745195069545e-10
"987",1.48433236775096e-10
"988",6.82445428624407e-11
"989",3.68767036264342e-11
"990",2.60602776088102e-11
"991",8.20946024760872e-11
"992",4.78493472480575e-10
"993",1.68264073024623e-09
"994",4.52612546345797e-09
"995",1.05920677343133e-08
"996",2.32312358323866e-08
"997",4.8437561370605e-08
"998",8.52621501097153e-08
